국적 및 지역,성별,합계,유학(D-2),전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),교환학생(D-2-F),일반연수(D-4),대학부설어학원연수(D-4-1),외국어연수(D-4-7)
중      국,(M),"24,034","15,824",679,"10,098","3,154",905,16,971,1,"8,210","8,210",0
중      국,(F),"34,752","24,678",592,"13,323","5,861","1,179",8,"3,715",0,"10,074","10,074",0
한국계 중국인,(M),210,191,46,112,21,12,0,0,0,19,19,0
한국계 중국인,(F),196,182,38,112,21,11,0,0,0,14,14,0
베  트  남,(M),"3,649","1,830",164,436,707,489,1,33,0,"1,819","1,819",0
베  트  남,(F),"3,796","1,663",88,619,646,202,0,108,0,"2,133","2,133",0
타      이,(M),141,107,0,30,36,30,1,10,0,34,33,1
타      이,(F),352,244,2,62,98,51,0,31,0,108,108,0
필  리  핀,(M),240,199,3,37,103,38,1,17,0,41,41,0
필  리  핀,(F),420,340,3,55,195,52,1,34,0,80,80,0
일      본,(M),390,295,5,147,48,19,6,70,0,95,93,2
일      본,(F),"1,823","1,253",25,539,123,25,5,536,0,570,570,0
우즈베키스탄,(M),"1,100",674,12,356,236,34,1,35,0,426,426,0
우즈베키스탄,(F),342,248,2,146,69,17,0,14,0,94,94,0
인도네시아,(M),597,540,1,175,211,91,3,59,0,57,57,0
인도네시아,(F),719,591,10,214,224,50,0,93,0,128,128,0
캄 보 디 아,(M),251,208,3,50,115,25,0,15,0,43,43,0
캄 보 디 아,(F),167,125,3,33,64,5,0,20,0,42,42,0
몽      골,(M),"1,744",862,54,404,302,70,0,32,0,882,882,0
몽      골,(F),"3,103","1,675",64,522,850,185,0,54,0,"1,428","1,428",0
네      팔,(M),522,455,14,62,212,167,0,0,0,67,67,0
네      팔,(F),168,131,2,27,76,26,0,0,0,37,37,0
타 이 완,(M),139,103,0,20,15,11,1,56,0,36,36,0
타 이 완,(F),772,525,1,63,78,9,0,374,0,247,247,0
스 리 랑 카,(M),280,104,7,32,45,19,0,1,0,176,176,0
스 리 랑 카,(F),192,55,1,11,33,10,0,0,0,137,137,0
미  얀  마,(M),172,120,0,20,76,24,0,0,0,52,52,0
미  얀  마,(F),242,181,2,44,110,25,0,0,0,61,61,0
방글라데시,(M),564,524,9,92,220,202,0,1,0,40,40,0
방글라데시,(F),113,107,0,10,54,43,0,0,0,6,6,0
홍      콩,(M),78,49,0,29,7,1,0,12,0,29,29,0
홍      콩,(F),439,226,1,130,19,2,0,74,0,213,213,0
파 키 스 탄,(M),"1,021",933,2,33,403,485,1,9,0,88,88,0
파 키 스 탄,(F),143,121,1,11,49,59,0,1,0,22,22,0
인      도,(M),774,707,6,24,147,511,6,13,0,67,67,0
인      도,(F),285,265,3,11,86,158,3,4,0,20,20,0
말레이시아,(M),368,310,39,170,35,22,0,44,0,58,58,0
말레이시아,(F),593,435,22,221,53,35,0,104,0,158,158,0
카자흐스탄,(M),254,206,4,165,23,6,0,8,0,48,48,0
카자흐스탄,(F),457,345,1,204,76,9,0,55,0,112,112,0
싱 가 포 르,(M),88,78,0,12,4,0,0,62,0,10,10,0
싱 가 포 르,(F),228,187,0,37,20,1,0,129,0,41,41,0
키르기스스탄,(M),97,62,0,46,10,2,1,3,0,35,35,0
키르기스스탄,(F),146,99,3,43,38,2,2,11,0,47,47,0
이      란,(M),151,136,0,16,19,96,4,1,0,15,15,0
이      란,(F),92,75,0,14,26,34,1,0,0,17,17,0
티모르 민주공화국,(M),16,11,0,1,10,0,0,0,0,5,5,0
티모르 민주공화국,(F),8,7,0,5,2,0,0,0,0,1,1,0
아랍에미리트연합,(M),40,31,1,27,2,1,0,0,0,9,9,0
아랍에미리트연합,(F),9,5,1,0,4,0,0,0,0,4,4,0
시  리  아,(M),7,6,0,1,1,4,0,0,0,1,1,0
시  리  아,(F),4,2,0,1,1,0,0,0,0,2,2,0
터      키,(M),97,75,0,27,13,14,1,20,0,22,22,0
터      키,(F),160,118,0,27,29,15,0,47,0,42,42,0
사우디아라비아,(M),411,340,0,297,31,10,0,2,0,71,71,0
사우디아라비아,(F),91,63,0,39,20,4,0,0,0,28,28,0
라  오  스,(M),64,52,0,6,34,10,0,2,0,12,12,0
라  오  스,(F),45,34,0,11,17,3,0,3,0,11,11,0
마  카  오,(M),5,2,0,0,0,0,0,2,0,3,3,0
마  카  오,(F),43,23,0,13,2,1,0,7,0,20,20,0
타지키스탄,(M),54,36,2,14,14,1,1,4,0,18,18,0
타지키스탄,(F),17,14,0,6,6,0,0,2,0,3,3,0
요  르  단,(M),36,29,0,6,11,12,0,0,0,7,7,0
요  르  단,(F),10,8,0,1,6,1,0,0,0,2,2,0
이  라  크,(M),24,21,1,3,9,7,1,0,0,3,3,0
이  라  크,(F),9,6,0,2,4,0,0,0,0,3,3,0
예멘공화국,(M),33,22,0,6,8,8,0,0,0,11,11,0
예멘공화국,(F),12,7,0,5,2,0,0,0,0,5,5,0
아프가니스탄,(M),42,36,0,8,27,1,0,0,0,6,6,0
아프가니스탄,(F),1,1,0,1,0,0,0,0,0,0,0,0
이 스 라 엘,(M),8,6,0,0,2,0,0,4,0,2,2,0
이 스 라 엘,(F),17,13,0,1,5,0,0,7,0,4,4,0
브 루 나 이,(M),9,8,0,1,0,0,0,7,0,1,1,0
브 루 나 이,(F),35,31,0,3,3,2,0,23,0,4,4,0
쿠 웨 이 트,(M),3,2,0,0,0,2,0,0,0,1,1,0
쿠 웨 이 트,(F),3,2,0,1,1,0,0,0,0,1,1,0
투르크메니스탄,(M),18,17,1,10,5,1,0,0,0,1,1,0
투르크메니스탄,(F),15,9,1,4,2,0,0,2,0,6,6,0
오      만,(M),1,1,0,0,0,1,0,0,0,0,0,0
오      만,(F),4,2,0,0,2,0,0,0,0,2,2,0
레  바  논,(M),5,5,0,1,4,0,0,0,0,0,0,0
레  바  논,(F),3,2,0,1,1,0,0,0,0,1,1,0
팔레스타인,(M),6,4,0,0,3,1,0,0,0,2,2,0
팔레스타인,(F),3,3,1,0,1,0,0,1,0,0,0,0
카  타  르,(M),1,0,0,0,0,0,0,0,0,1,1,0
카  타  르,(F),0,0,0,0,0,0,0,0,0,0,0,0
키 프 로 스,(M),0,0,0,0,0,0,0,0,0,0,0,0
키 프 로 스,(F),1,1,0,1,0,0,0,0,0,0,0,0
홍콩거주난민,(M),0,0,0,0,0,0,0,0,0,0,0,0
홍콩거주난민,(F),1,1,0,1,0,0,0,0,0,0,0,0
바  레  인,(M),4,4,0,2,1,1,0,0,0,0,0,0
바  레  인,(F),3,1,0,1,0,0,0,0,0,2,2,0
부      탄,(M),2,1,0,1,0,0,0,0,0,1,1,0
부      탄,(F),5,5,0,1,4,0,0,0,0,0,0,0
몰  디  브,(M),3,2,0,0,2,0,0,0,0,1,1,0
몰  디  브,(F),0,0,0,0,0,0,0,0,0,0,0,0
미      국,(M),539,462,3,84,154,38,5,177,1,77,76,1
미      국,(F),580,487,1,69,69,2,0,346,0,93,93,0
캐  나  다,(M),79,64,0,8,22,2,0,32,0,15,15,0
캐  나  다,(F),72,62,0,8,14,1,0,39,0,10,10,0
브  라  질,(M),101,84,0,20,13,1,0,50,0,17,17,0
브  라  질,(F),92,70,0,19,12,0,0,39,0,22,22,0
멕  시  코,(M),91,79,0,4,16,4,0,55,0,12,12,0
멕  시  코,(F),124,108,0,16,18,0,0,74,0,16,16,0
페      루,(M),31,26,1,5,18,1,0,1,0,5,5,0
페      루,(F),52,39,0,16,16,0,0,7,0,13,12,1
아르헨티나,(M),7,5,0,4,0,1,0,0,0,2,2,0
아르헨티나,(F),10,7,0,2,3,1,0,1,0,3,3,0
콜 롬 비 아,(M),50,41,0,13,17,2,0,9,0,9,9,0
콜 롬 비 아,(F),37,24,0,7,11,0,0,6,0,13,13,0
에 콰 도 르,(M),44,41,0,8,24,2,0,7,0,3,3,0
에 콰 도 르,(F),58,44,0,13,25,0,0,6,0,14,14,0
칠      레,(M),9,6,0,1,1,1,0,3,0,3,3,0
칠      레,(F),27,17,0,5,8,2,1,1,0,10,10,0
파 라 과 이,(M),10,8,0,8,0,0,0,0,0,2,2,0
파 라 과 이,(F),17,13,0,9,4,0,0,0,0,4,4,0
베네수엘라,(M),7,5,0,5,0,0,0,0,0,2,2,0
베네수엘라,(F),15,10,0,6,4,0,0,0,0,5,5,0
과 테 말 라,(M),34,33,0,8,16,9,0,0,0,1,1,0
과 테 말 라,(F),25,25,0,8,15,2,0,0,0,0,0,0
볼 리 비 아,(M),7,3,0,2,1,0,0,0,0,4,4,0
볼 리 비 아,(F),16,13,0,10,3,0,0,0,0,3,3,0
도미니카공화국,(M),9,7,0,3,3,0,0,1,0,2,2,0
도미니카공화국,(F),22,14,0,6,6,0,0,2,0,8,8,0
코스타리카,(M),9,4,0,0,4,0,0,0,0,5,4,1
코스타리카,(F),11,8,0,3,5,0,0,0,0,3,3,0
파  나  마,(M),10,8,0,4,3,1,0,0,0,2,2,0
파  나  마,(F),13,8,0,3,5,0,0,0,0,5,5,0
온 두 라 스,(M),3,2,0,0,1,1,0,0,0,1,1,0
온 두 라 스,(F),5,3,0,1,2,0,0,0,0,2,2,0
엘살바도르,(M),11,8,0,2,5,1,0,0,0,3,3,0
엘살바도르,(F),14,11,0,5,6,0,0,0,0,3,3,0
자 메 이 카,(M),2,2,0,0,2,0,0,0,0,0,0,0
자 메 이 카,(F),12,10,0,1,7,1,0,1,0,2,2,0
우 루 과 이,(M),4,2,0,0,1,0,1,0,0,2,2,0
우 루 과 이,(F),4,2,0,0,2,0,0,0,0,2,2,0
쿠      바,(M),0,0,0,0,0,0,0,0,0,0,0,0
쿠      바,(F),2,1,0,1,0,0,0,0,0,1,1,0
니 카 라 과,(M),2,1,0,0,1,0,0,0,0,1,1,0
니 카 라 과,(F),4,2,0,0,2,0,0,0,0,2,2,0
트리니다드토바고,(M),2,1,0,0,1,0,0,0,0,1,1,0
트리니다드토바고,(F),6,2,0,0,0,1,0,1,0,4,4,0
아  이  티,(M),5,5,0,1,4,0,0,0,0,0,0,0
아  이  티,(F),2,1,0,0,0,0,0,1,0,1,1,0
벨  리  즈,(M),1,1,0,0,0,1,0,0,0,0,0,0
벨  리  즈,(F),3,2,0,1,1,0,0,0,0,1,1,0
바베이도스,(M),1,0,0,0,0,0,0,0,0,1,1,0
바베이도스,(F),0,0,0,0,0,0,0,0,0,0,0,0
바  하  마,(M),1,0,0,0,0,0,0,0,0,1,1,0
바  하  마,(F),2,0,0,0,0,0,0,0,0,2,2,0
가 이 아 나,(M),0,0,0,0,0,0,0,0,0,0,0,0
가 이 아 나,(F),1,0,0,0,0,0,0,0,0,1,1,0
러시아(연방),(M),123,87,3,38,20,6,0,20,0,36,36,0
러시아(연방),(F),579,356,17,109,91,15,0,124,0,223,223,0
한국계 러시아인,(M),1,1,0,1,0,0,0,0,0,0,0,0
한국계 러시아인,(F),5,5,0,3,2,0,0,0,0,0,0,0
영      국,(M),93,71,0,16,15,2,1,37,0,22,22,0
영      국,(F),89,78,0,13,8,1,0,56,0,11,11,0
프  랑  스,(M),385,361,0,10,30,13,0,308,0,24,24,0
프  랑  스,(F),393,337,0,21,19,1,0,296,0,56,56,0
독      일,(M),255,244,0,7,23,10,1,203,0,11,11,0
독      일,(F),282,268,0,12,26,4,0,226,0,14,14,0
우크라이나,(M),30,27,0,10,9,5,0,3,0,3,3,0
우크라이나,(F),56,36,0,13,11,5,0,7,0,20,20,0
노 르 웨 이,(M),34,27,0,2,9,0,0,16,0,7,7,0
노 르 웨 이,(F),42,27,0,7,5,0,0,15,0,15,15,0
이 탈 리 아,(M),51,37,0,5,7,4,1,20,0,14,14,0
이 탈 리 아,(F),82,50,0,12,10,2,0,26,0,32,32,0
네 덜 란 드,(M),100,91,0,2,12,2,0,75,0,9,9,0
네 덜 란 드,(F),75,69,0,4,5,0,0,60,0,6,6,0
스  페  인,(M),70,64,0,8,7,1,0,48,0,6,6,0
스  페  인,(F),91,76,0,6,8,4,0,58,0,15,15,0
아 일 랜 드,(M),8,6,0,1,4,0,0,1,0,2,2,0
아 일 랜 드,(F),4,2,0,0,0,0,0,2,0,2,2,0
스  웨  덴,(M),79,62,0,5,5,0,1,51,0,17,17,0
스  웨  덴,(F),70,32,0,3,0,0,0,29,0,38,38,0
스  위  스,(M),37,31,0,3,3,0,1,24,0,6,6,0
스  위  스,(F),21,16,0,1,6,1,0,8,0,5,5,0
덴  마  크,(M),34,32,0,1,2,0,0,29,0,2,2,0
덴  마  크,(F),24,22,0,2,1,0,0,19,0,2,2,0
폴  란  드,(M),41,40,0,11,5,11,0,13,0,1,1,0
폴  란  드,(F),68,55,0,11,15,3,0,26,0,13,13,0
벨  기  에,(M),27,24,0,1,4,1,0,18,0,3,3,0
벨  기  에,(F),21,18,0,2,6,0,1,9,0,3,3,0
핀  란  드,(M),42,38,0,2,5,0,1,30,0,4,4,0
핀  란  드,(F),60,57,0,14,7,0,0,36,0,3,3,0
루 마 니 아,(M),11,10,0,3,4,1,0,2,0,1,1,0
루 마 니 아,(F),45,37,0,6,18,3,0,10,0,8,8,0
오스트리아,(M),31,29,0,1,1,3,0,24,0,2,2,0
오스트리아,(F),28,24,0,2,3,0,0,19,0,4,4,0
그  리  스,(M),1,1,0,0,1,0,0,0,0,0,0,0
그  리  스,(F),5,5,0,0,4,0,0,1,0,0,0,0
포 르 투 갈,(M),12,11,0,1,1,0,1,8,0,1,1,0
포 르 투 갈,(F),23,17,0,7,1,0,0,9,0,6,6,0
체      코,(M),26,25,0,1,0,1,0,23,0,1,1,0
체      코,(F),22,21,0,3,4,1,0,13,0,1,1,0
벨 로 루 시,(M),6,6,0,1,2,1,1,1,0,0,0,0
벨 로 루 시,(F),27,18,0,3,6,1,0,8,0,9,9,0
불 가 리 아,(M),15,11,0,4,4,1,0,2,0,4,4,0
불 가 리 아,(F),30,23,0,9,12,1,0,1,0,7,7,0
헝  가  리,(M),18,17,0,8,1,3,0,5,0,1,1,0
헝  가  리,(F),24,16,0,2,10,3,0,1,0,8,8,0
아제르바이잔,(M),31,27,0,9,13,3,0,2,0,4,4,0
아제르바이잔,(F),24,21,0,2,12,4,0,3,0,3,3,0
크로아티아,(M),6,5,0,1,0,3,0,1,0,1,1,0
크로아티아,(F),4,2,0,1,0,0,0,1,0,2,2,0
슬 로 바 크,(M),11,9,2,1,1,2,1,2,0,2,2,0
슬 로 바 크,(F),12,8,1,0,4,1,0,2,0,4,4,0
아르메니아,(M),3,2,0,1,1,0,0,0,0,1,1,0
아르메니아,(F),5,4,0,0,2,1,0,1,0,1,1,0
리투아니아,(M),13,10,0,3,2,0,0,5,0,3,3,0
리투아니아,(F),25,24,0,2,5,1,1,15,0,1,1,0
세르비아,(M),6,2,0,0,1,1,0,0,0,4,4,0
세르비아,(F),11,7,0,1,3,2,0,1,0,4,4,0
라 트 비 아,(M),3,2,0,0,0,1,0,1,0,1,1,0
라 트 비 아,(F),10,8,0,4,1,0,0,3,0,2,2,0
몰  도  바,(M),4,4,0,1,3,0,0,0,0,0,0,0
몰  도  바,(F),15,9,0,0,4,1,0,4,0,6,6,0
슬로베니아,(M),3,3,0,1,1,0,0,1,0,0,0,0
슬로베니아,(F),11,10,0,1,5,0,0,4,0,1,1,0
그 루 지 야,(M),2,2,0,0,1,0,0,1,0,0,0,0
그 루 지 야,(F),9,6,0,1,4,0,0,1,0,3,3,0
알 바 니 아,(M),2,1,0,0,1,0,0,0,0,1,1,0
알 바 니 아,(F),4,2,0,0,2,0,0,0,0,2,2,0
아이슬란드,(M),1,1,0,0,1,0,0,0,0,0,0,0
아이슬란드,(F),1,1,0,0,0,0,0,1,0,0,0,0
에스토니아,(M),1,1,0,0,0,0,0,1,0,0,0,0
에스토니아,(F),7,7,0,2,2,0,0,3,0,0,0,0
룩셈부르크,(M),1,1,0,0,0,0,0,1,0,0,0,0
룩셈부르크,(F),3,1,0,0,1,0,0,0,0,2,2,0
영국 외지민,(M),0,0,0,0,0,0,0,0,0,0,0,0
영국 외지민,(F),1,1,0,0,1,0,0,0,0,0,0,0
마케도니아,(M),0,0,0,0,0,0,0,0,0,0,0,0
마케도니아,(F),1,0,0,0,0,0,0,0,0,1,1,0
오스트레일리아,(M),47,31,0,7,4,2,1,17,0,16,16,0
오스트레일리아,(F),44,41,0,3,4,1,2,31,0,3,3,0
뉴 질 랜 드,(M),6,4,0,1,0,1,0,2,0,2,2,0
뉴 질 랜 드,(F),6,4,0,0,2,0,0,2,0,2,2,0
피      지,(M),17,16,0,2,11,2,1,0,0,1,1,0
피      지,(F),9,8,0,1,6,0,0,1,0,1,1,0
파푸아뉴기니,(M),12,12,0,0,12,0,0,0,0,0,0,0
파푸아뉴기니,(F),3,3,0,0,3,0,0,0,0,0,0,0
솔로몬군도,(M),6,6,0,0,6,0,0,0,0,0,0,0
솔로몬군도,(F),2,2,0,0,2,0,0,0,0,0,0,0
이  집  트,(M),85,82,0,7,41,33,0,1,0,3,3,0
이  집  트,(F),40,32,0,6,17,9,0,0,0,8,8,0
나이지리아,(M),165,130,4,25,79,19,0,3,0,35,35,0
나이지리아,(F),45,35,0,11,20,2,0,2,0,10,10,0
남아프리카 공화국,(M),15,9,0,3,5,1,0,0,0,6,6,0
남아프리카 공화국,(F),13,9,0,6,3,0,0,0,0,4,4,0
가      나,(M),151,137,0,14,96,25,1,1,0,14,14,0
가      나,(F),52,47,0,10,32,5,0,0,0,5,5,0
카  메  룬,(M),180,160,1,37,108,14,0,0,0,20,20,0
카  메  룬,(F),65,56,0,10,38,8,0,0,0,9,9,0
에티오피아,(M),202,182,0,21,81,78,2,0,0,20,20,0
에티오피아,(F),45,35,0,14,19,1,0,1,0,10,10,0
리  비  아,(M),10,3,0,0,2,1,0,0,0,7,7,0
리  비  아,(F),6,2,0,1,1,0,0,0,0,4,4,0
