국적명,성별,전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),일-학습연계 유학(D-2-7),단기유학(D-2-8),대학부설어학원연수(D-4-1),외국어연수(D-4-7)
한국계 중국인,남,8,106,15,8,1,16,0,0,68,0
한국계 중국인,여,4,90,34,16,1,50,0,0,42,0
중      국,남,549,"12,979","3,194","1,305",37,924,1,58,"7,032",0
중      국,여,486,"19,517","7,601","1,639",34,"3,346",5,143,"7,824",0
베  트  남,남,479,"1,042",799,548,5,112,3,3,"11,087",0
베  트  남,여,319,"1,788",974,251,5,238,11,9,"9,890",0
태      국,남,0,31,35,24,3,9,2,0,29,0
태      국,여,2,89,75,56,3,47,14,0,152,0
우즈베키스탄,남,64,"1,125",566,50,0,48,5,10,"2,168",2
우즈베키스탄,여,11,351,111,27,0,12,7,1,235,0
필  리  핀,남,0,32,94,49,1,14,4,0,43,0
필  리  핀,여,6,42,191,60,0,39,8,2,81,0
일      본,남,2,176,31,22,1,74,0,1,100,0
일      본,여,38,652,95,24,1,574,8,4,661,0
캄 보 디 아,남,4,44,102,34,0,3,4,0,44,0
캄 보 디 아,여,2,40,70,5,0,6,8,0,38,0
몽      골,남,30,470,465,69,0,44,3,0,"1,681",0
몽      골,여,61,627,"1,410",255,1,72,5,0,"2,591",0
인도네시아,남,8,122,234,98,0,33,2,5,62,0
인도네시아,여,15,241,238,54,2,139,15,9,141,0
네      팔,남,5,247,215,191,1,0,6,2,139,0
네      팔,여,0,84,86,44,0,0,1,1,56,0
(타  이  완),남,0,19,17,6,0,72,0,0,32,0
(타  이  완),여,3,102,127,15,1,479,3,2,333,0
스 리 랑 카,남,24,52,58,26,0,2,4,1,162,0
스 리 랑 카,여,7,36,29,13,0,0,4,0,125,0
미  얀  마,남,7,30,81,29,0,1,0,0,91,0
미  얀  마,여,10,72,126,34,0,8,4,0,121,0
카자흐스탄,남,3,187,41,7,0,8,4,0,50,0
카자흐스탄,여,5,295,68,13,1,50,11,1,111,0
방글라데시,남,7,263,290,241,1,1,5,0,61,1
방글라데시,여,0,14,69,50,2,2,3,0,6,0
(홍      콩),남,1,42,1,1,0,13,0,1,38,0
(홍      콩),여,0,223,29,1,1,63,2,4,257,0
파 키 스 탄,남,4,102,547,526,1,4,5,0,70,0
파 키 스 탄,여,0,16,76,88,0,1,5,2,14,0
말레이시아,남,34,234,21,21,0,25,3,2,49,0
말레이시아,여,27,345,47,27,0,110,9,6,133,0
인      도,남,12,129,131,527,9,12,7,5,202,0
인      도,여,0,23,109,168,4,11,7,4,46,0
키 르 기 즈,남,2,53,26,2,0,6,2,0,54,0
키 르 기 즈,여,7,53,52,0,0,14,6,0,57,0
싱 가 포 르,남,0,9,6,0,0,59,1,34,9,0
싱 가 포 르,여,1,31,17,2,0,124,2,71,34,0
동 티 모 르,남,0,2,16,0,0,0,0,0,3,0
동 티 모 르,여,0,6,5,0,0,0,1,0,3,0
이      란,남,0,16,41,85,5,1,2,0,18,0
이      란,여,0,26,21,37,4,0,6,0,65,0
터      키,남,1,26,18,13,3,26,3,1,20,0
터      키,여,0,34,40,16,0,71,10,0,41,0
시  리  아,남,0,2,2,4,0,0,0,0,0,0
시  리  아,여,0,0,1,0,0,0,0,0,3,0
라  오  스,남,0,9,23,9,0,3,2,0,8,0
라  오  스,여,0,11,27,3,0,0,5,1,12,0
아랍에미리트연합,남,0,30,4,0,0,0,0,0,16,0
아랍에미리트연합,여,0,6,7,0,0,2,0,0,4,0
사우디아라비아,남,1,198,22,12,0,6,0,0,4,0
사우디아라비아,여,0,32,22,7,0,0,1,0,8,0
(마  카  오),남,0,0,1,0,0,1,0,0,1,0
(마  카  오),여,0,29,2,0,0,8,0,0,22,0
타지키스탄,남,2,26,16,2,0,4,1,0,39,0
타지키스탄,여,0,3,3,0,0,4,1,0,5,0
이  라  크,남,0,3,21,5,0,0,0,0,2,0
이  라  크,여,0,5,4,3,0,0,0,0,2,0
예      멘,남,0,7,6,10,0,0,4,0,6,0
예      멘,여,0,5,3,1,0,0,3,0,2,0
요  르  단,남,0,7,16,17,0,0,1,0,7,0
요  르  단,여,0,1,6,1,0,1,3,0,8,0
아프가니스탄,남,0,9,33,4,0,0,3,0,11,0
아프가니스탄,여,0,2,0,0,0,0,0,0,0,0
브 루 나 이,남,0,2,2,0,0,3,0,0,0,0
