국적명,유학(D-2),전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),일-학습연계 유학(D-2,단기유학(D-2-8),교환학생(D-2-F),일반연수(D-4),대학부설어학원연수(D,외국어연수(D-4-7)
한국계 중국인,95,5,63,17,9,1,0,0,0,0,8,8,0
한국계 중국인,73,4,50,11,8,0,0,0,0,0,4,4,0
중      국,"17,111",537,"11,347","3,013","1,044",24,"1,127",2,16,1,"8,793","8,793",0
중      국,"29,425",490,"16,371","6,773","1,326",17,"4,378",4,66,0,"11,105","11,105",0
베  트  남,"2,300",268,680,756,536,7,51,0,2,0,"5,311","5,311",0
베  트  남,"2,392",162,"1,025",796,234,4,166,4,1,0,"5,190","5,190",0
타      이,116,0,32,42,30,1,8,0,3,0,26,26,0
타      이,335,3,84,104,55,4,58,3,24,0,118,118,0
필  리  핀,203,1,41,106,44,1,9,1,0,0,42,42,0
필  리  핀,345,4,54,191,60,1,32,2,1,0,82,82,0
우즈베키스탄,"1,047",34,605,319,42,1,44,2,0,0,834,834,0
우즈베키스탄,360,7,226,85,22,0,19,1,0,0,145,144,1
일      본,295,4,172,35,26,3,55,0,0,0,95,95,0
일      본,"1,367",29,601,112,25,2,591,4,3,0,627,627,0
인도네시아,519,7,161,205,102,0,42,0,2,0,61,61,0
인도네시아,651,11,240,247,48,0,100,3,2,0,134,134,0
캄 보 디 아,208,4,47,121,33,0,2,1,0,0,36,36,0
캄 보 디 아,129,2,33,70,6,0,13,5,0,0,42,42,0
몽      골,951,46,454,339,68,1,42,1,0,0,"1,145","1,145",0
몽      골,"1,812",53,528,964,214,2,51,0,0,0,"2,092","2,092",0
네      팔,490,6,92,212,179,1,0,0,0,0,65,65,0
네      팔,137,0,25,77,34,0,0,0,1,0,30,30,0
타  이  완,100,0,22,20,8,1,49,0,0,0,40,40,0
타  이  완,617,4,79,106,12,0,413,2,1,0,273,273,0
스 리 랑 카,144,17,43,55,26,0,1,2,0,0,216,215,1
스 리 랑 카,72,1,25,32,12,0,0,2,0,0,161,161,0
미  얀  마,141,6,30,77,28,0,0,0,0,0,47,47,0
미  얀  마,229,11,58,122,32,0,6,0,0,0,78,78,0
홍      콩,70,1,39,5,1,0,24,0,0,0,34,34,0
홍      콩,307,0,188,28,2,0,85,1,3,0,229,229,0
방글라데시,654,5,211,224,212,2,0,0,0,0,44,44,0
방글라데시,118,0,10,59,45,1,2,1,0,0,8,8,0
파 키 스 탄,"1,022",3,39,456,517,1,5,1,0,0,74,74,0
파 키 스 탄,155,0,15,54,81,0,2,3,0,0,15,15,0
카자흐스탄,245,4,191,32,8,0,9,1,0,0,50,50,0
카자흐스탄,404,1,268,86,11,1,35,2,0,0,114,114,0
인      도,752,8,64,150,509,8,10,1,2,0,91,91,0
인      도,278,0,12,106,150,2,6,2,0,0,30,30,0
말레이시아,349,24,225,25,18,0,55,1,1,0,78,78,0
말레이시아,524,23,307,55,32,0,95,2,10,0,148,148,0
싱 가 포 르,137,0,10,7,0,0,69,0,51,0,7,7,0
싱 가 포 르,239,1,37,17,2,0,104,0,78,0,39,39,0
키르기스스탄,77,0,49,21,2,0,3,2,0,0,40,40,0
키르기스스탄,99,3,42,49,0,0,5,0,0,0,55,55,0
티모르 민주공화국,17,0,1,16,0,0,0,0,0,0,3,3,0
티모르 민주공화국,9,0,4,4,0,0,0,1,0,0,4,4,0
이      란,136,0,16,30,83,7,0,0,0,0,20,20,0
이      란,79,0,15,23,35,3,0,3,0,0,22,22,0
시  리  아,7,0,1,0,5,0,1,0,0,0,3,3,0
시  리  아,3,0,1,1,0,0,1,0,0,0,1,1,0
터      키,72,0,26,14,14,2,15,1,0,0,24,24,0
터      키,133,1,32,32,16,0,50,2,0,0,41,41,0
라  오  스,48,0,9,29,8,0,0,2,0,0,9,9,0
라  오  스,45,0,12,26,4,0,1,2,0,0,10,10,0
사우디아라비아,343,2,295,29,10,0,3,0,4,0,23,23,0
사우디아라비아,72,0,40,26,5,0,0,0,1,0,9,9,0
아랍에미리트연합,35,1,32,2,0,0,0,0,0,0,21,21,0
아랍에미리트연합,13,0,5,5,0,0,2,0,1,0,2,2,0
마  카  오,1,0,0,0,0,0,1,0,0,0,0,0,0
마  카  오,30,0,21,2,0,0,7,0,0,0,22,22,0
타지키스탄,37,1,16,16,2,0,2,0,0,0,23,23,0
타지키스탄,13,0,4,3,0,0,6,0,0,0,1,1,0
요  르  단,33,0,5,13,15,0,0,0,0,0,4,4,0
요  르  단,8,0,1,6,1,0,0,0,0,0,9,9,0
이  라  크,22,0,3,14,5,0,0,0,0,0,0,0,0
이  라  크,5,0,3,0,2,0,0,0,0,0,2,2,0
예멘공화국,22,0,8,7,5,0,1,1,0,0,7,7,0
예멘공화국,11,0,6,3,0,0,0,2,0,0,4,4,0
아프가니스탄,43,0,8,29,4,0,0,2,0,0,7,7,0
아프가니스탄,1,0,1,0,0,0,0,0,0,0,0,0,0
이 스 라 엘,11,0,0,2,1,1,7,0,0,0,1,1,0
이 스 라 엘,11,0,0,4,0,0,5,2,0,0,2,2,0
브 루 나 이,9,0,1,3,0,0,4,0,1,0,0,0,0
브 루 나 이,53,0,3,3,2,0,43,1,1,0,4,4,0
쿠 웨 이 트,42,0,22,7,13,0,0,0,0,0,0,0,0
쿠 웨 이 트,2,0,1,1,0,0,0,0,0,0,1,1,0
오      만,2,0,0,1,1,0,0,0,0,0,0,0,0
오      만,4,0,0,4,0,0,0,0,0,0,2,2,0
투르크메니스탄,20,1,13,4,1,0,0,1,0,0,3,3,0
투르크메니스탄,11,0,6,4,0,0,0,1,0,0,9,9,0
팔레스타인,5,0,1,2,2,0,0,0,0,0,3,3,0
팔레스타인,2,0,1,1,0,0,0,0,0,0,1,1,0
레  바  논,4,0,1,3,0,0,0,0,0,0,1,1,0
레  바  논,0,0,0,0,0,0,0,0,0,0,1,1,0
키 프 로 스,1,0,0,0,0,1,0,0,0,0,0,0,0
키 프 로 스,1,0,1,0,0,0,0,0,0,0,0,0,0
카  타  르,1,0,1,0,0,0,0,0,0,0,0,0,0
카  타  르,0,0,0,0,0,0,0,0,0,0,0,0,0
바  레  인,3,0,1,1,1,0,0,0,0,0,0,0,0
바  레  인,4,0,2,1,0,0,0,1,0,0,0,0,0
부      탄,4,0,2,2,0,0,0,0,0,0,1,1,0
부      탄,5,0,0,5,0,0,0,0,0,0,2,2,0
홍콩거주난민,0,0,0,0,0,0,0,0,0,0,0,0,0
홍콩거주난민,1,0,1,0,0,0,0,0,0,0,0,0,0
몰  디  브,0,0,0,0,0,0,0,0,0,0,1,1,0
몰  디  브,1,0,0,1,0,0,0,0,0,0,0,0,0
미      국,412,1,89,134,33,0,130,2,23,0,71,71,0
미      국,483,0,83,70,2,1,267,1,59,0,96,96,0
캐  나  다,62,0,13,19,2,0,27,1,0,0,7,7,0
캐  나  다,76,0,11,12,3,0,47,0,3,0,17,17,0
브  라  질,60,0,26,24,2,0,8,0,0,0,19,19,0
브  라  질,54,1,20,15,0,1,16,1,0,0,25,24,1
멕  시  코,61,0,8,13,7,0,32,0,1,0,14,14,0
멕  시  코,98,0,15,17,2,0,59,4,1,0,21,21,0
페      루,25,1,5,14,1,0,3,1,0,0,6,6,0
페      루,41,0,14,19,1,0,6,1,0,0,18,18,0
아르헨티나,9,0,4,1,1,0,3,0,0,0,1,1,0
아르헨티나,7,0,2,3,1,0,0,1,0,0,4,4,0
콜 롬 비 아,38,0,14,18,2,0,3,1,0,0,10,10,0
콜 롬 비 아,34,0,12,11,1,0,8,2,0,0,7,7,0
에 콰 도 르,50,0,7,32,5,0,6,0,0,0,6,6,0
에 콰 도 르,62,0,21,36,0,0,3,2,0,0,9,9,0
칠      레,4,0,1,1,1,0,1,0,0,0,2,2,0
칠      레,23,0,5,8,2,1,4,3,0,0,10,10,0
파 라 과 이,4,0,4,0,0,0,0,0,0,0,2,2,0
파 라 과 이,10,0,9,1,0,0,0,0,0,0,14,14,0
베네수엘라,3,0,1,1,0,0,1,0,0,0,4,4,0
베네수엘라,13,0,10,3,0,0,0,0,0,0,9,9,0
과 테 말 라,21,0,4,9,7,0,0,1,0,0,2,2,0
과 테 말 라,17,0,6,9,2,0,0,0,0,0,1,1,0
코스타리카,7,0,1,5,0,0,0,1,0,0,3,2,1
코스타리카,7,0,2,4,1,0,0,0,0,0,8,8,0
도미니카공화국,7,0,3,3,0,0,0,1,0,0,2,2,0
도미니카공화국,16,0,8,8,0,0,0,0,0,0,5,5,0
볼 리 비 아,7,0,4,3,0,0,0,0,0,0,6,6,0
볼 리 비 아,13,0,10,3,0,0,0,0,0,0,3,3,0
파  나  마,9,0,5,0,1,0,2,1,0,0,2,2,0
파  나  마,9,0,4,3,0,0,0,2,0,0,7,7,0
엘살바도르,5,0,2,2,1,0,0,0,0,0,3,3,0
엘살바도르,16,0,7,7,0,0,0,2,0,0,3,3,0
온 두 라 스,4,0,0,3,1,0,0,0,0,0,1,1,0
온 두 라 스,4,0,1,2,0,0,0,1,0,0,2,2,0
자 메 이 카,3,0,0,3,0,0,0,0,0,0,1,1,0
