지역 Region,성별 Sex,총계,남자,여자
지역 Region,성별 Sex,Total,M,F
총계(Total),총계(Total),"147,591","20,887","126,704"
강원도,소계,"3,865",243,"3,622"
강원도,강릉시,396,34,362
강원도,고성군,89,4,85
강원도,동해시,185,10,175
강원도,삼척시,205,8,197
강원도,속초시,155,14,141
강원도,양구군,118,2,116
강원도,양양군,100,3,97
강원도,영월군,133,3,130
강원도,원주시,690,68,622
강원도,인제군,104,1,103
강원도,정선군,172,8,164
강원도,철원군,169,4,165
강원도,춘천시,620,70,550
강원도,태백시,124,6,118
강원도,평창군,127,3,124
강원도,홍천군,246,3,243
강원도,화천군,76,0,76
강원도,횡성군,156,2,154
경기도,소계,"40,208","6,925","33,283"
경기도,가평군,403,49,354
경기도,고양시 덕양구,"1,040",148,892
경기도,고양시 일산동구,710,157,553
경기도,고양시 일산서구,569,114,455
경기도,과천시,79,17,62
경기도,광명시,"1,010",208,802
경기도,광주시,933,110,823
경기도,구리시,474,50,424
경기도,군포시,865,198,667
경기도,김포시,924,161,763
경기도,남양주시,"1,510",193,"1,317"
경기도,동두천시,456,96,360
경기도,부천시,1,0,1
경기도,부천시 소사구,808,179,629
경기도,부천시 오정구,693,61,632
경기도,부천시 원미구,"1,455",325,"1,130"
경기도,성남시 분당구,586,174,412
경기도,성남시 수정구,"1,155",242,913
경기도,성남시 중원구,875,93,782
경기도,수원시 권선구,"1,116",213,903
경기도,수원시 영통구,503,95,408
경기도,수원시 장안구,779,128,651
경기도,수원시 팔달구,"1,263",334,929
경기도,시흥시,"2,423",388,"2,035"
경기도,안산시 단원구,"3,668",797,"2,871"
경기도,안산시 상록구,"1,472",224,"1,248"
경기도,안성시,684,78,606
경기도,안양시 동안구,543,114,429
경기도,안양시 만안구,733,135,598
경기도,양주시,766,105,661
경기도,양평군,303,22,281
경기도,여주군,323,11,312
경기도,연천군,154,7,147
경기도,오산시,864,174,690
경기도,용인시 기흥구,710,151,559
경기도,용인시 수지구,410,101,309
경기도,용인시 처인구,697,89,608
경기도,의왕시,334,64,270
경기도,의정부시,"1,120",171,949
경기도,이천시,693,59,634
경기도,파주시,"1,278",197,"1,081"
경기도,평택시,"1,702",291,"1,411"
경기도,포천시,815,112,703
경기도,하남시,392,47,345
경기도,화성시,"1,521",189,"1,332"
경기도,화성시 동부출장소,396,54,342
경상남도,소계,"9,288",747,"8,541"
경상남도,거제시,789,86,703
경상남도,거창군,183,5,178
경상남도,고성군,252,8,244
경상남도,김해시,"1,346",179,"1,167"
경상남도,남해군,152,5,147
경상남도,밀양시,333,10,323
경상남도,사천시,347,21,326
경상남도,산청군,135,2,133
경상남도,양산시,744,82,662
경상남도,의령군,124,0,124
경상남도,진주시,773,59,714
경상남도,창녕군,208,6,202
경상남도,창원시 마산합포구,419,27,392
경상남도,창원시 마산회원구,538,44,494
경상남도,창원시 성산구,492,61,431
경상남도,창원시 의창구,664,70,594
경상남도,창원시 진해구,406,44,362
경상남도,통영시,530,19,511
경상남도,하동군,195,2,193
경상남도,함안군,303,12,291
경상남도,함양군,190,4,186
경상남도,합천군,165,1,164
경상북도,소계,"7,470",430,"7,040"
경상북도,경산시,634,84,550
경상북도,경주시,755,68,687
경상북도,고령군,149,2,147
경상북도,구미시,858,81,777
경상북도,군위군,87,3,84
경상북도,김천시,395,15,380
경상북도,문경시,234,7,227
경상북도,봉화군,154,1,153
경상북도,상주시,390,8,382
경상북도,성주군,175,1,174
경상북도,안동시,438,22,416
경상북도,영덕군,146,2,144
경상북도,영양군,105,1,104
경상북도,영주시,289,4,285
경상북도,영천시,315,14,301
경상북도,예천군,212,2,210
경상북도,울릉군,17,1,16
경상북도,울진군,150,4,146
경상북도,의성군,190,3,187
경상북도,청도군,171,5,166
경상북도,청송군,104,3,101
경상북도,칠곡군,355,24,331
경상북도,포항시 남구,604,20,584
경상북도,포항시 북구,543,55,488
광주광역시,소계,"3,089",249,"2,840"
광주광역시,광산구,"1,057",84,973
광주광역시,남구,412,29,383
광주광역시,동구,186,15,171
광주광역시,북구,926,76,850
광주광역시,서구,508,45,463
대구광역시,소계,"4,514",506,"4,008"
대구광역시,남구,298,28,270
대구광역시,달서구,"1,165",150,"1,015"
대구광역시,달성군,446,44,402
대구광역시,동구,692,60,632
대구광역시,북구,759,60,699
대구광역시,서구,569,47,522
대구광역시,수성구,436,98,338
대구광역시,중구,149,19,130
대전광역시,소계,"3,440",350,"3,090"
대전광역시,대덕구,610,50,560
대전광역시,동구,760,72,688
대전광역시,서구,858,91,767
대전광역시,유성구,560,87,473
대전광역시,중구,652,50,602
부산광역시,소계,"6,619",838,"5,781"
부산광역시,강서구,165,13,152
부산광역시,금정구,398,53,345
부산광역시,기장군,255,31,224
부산광역시,남구,535,93,442
부산광역시,동구,275,16,259
부산광역시,동래구,356,43,313
부산광역시,부산진구,694,73,621
부산광역시,북구,473,30,443
부산광역시,사상구,621,48,573
부산광역시,사하구,774,90,684
부산광역시,서구,249,17,232
부산광역시,수영구,326,61,265
부산광역시,연제구,316,39,277
부산광역시,영도구,333,26,307
부산광역시,중구,144,10,134
부산광역시,해운대구,705,195,510
서울특별시,소계,"30,775","7,486","23,289"
서울특별시,강남구,735,188,547
서울특별시,강동구,"1,161",172,989
서울특별시,강북구,"1,007",144,863
서울특별시,강서구,"1,444",277,"1,167"
서울특별시,관악구,"1,942",521,"1,421"
서울특별시,광진구,"1,247",291,956
서울특별시,구로구,"2,543",770,"1,773"
서울특별시,금천구,"1,676",489,"1,187"
서울특별시,노원구,"1,064",223,841
서울특별시,도봉구,758,109,649
서울특별시,동대문구,"1,258",263,995
서울특별시,동작구,"1,102",279,823
서울특별시,마포구,"1,020",266,754
서울특별시,서대문구,765,165,600
서울특별시,서초구,563,182,381
서울특별시,성동구,975,221,754
서울특별시,성북구,"1,177",175,"1,002"
서울특별시,송파구,"1,280",272,"1,008"
서울특별시,양천구,"1,110",215,895
서울특별시,영등포구,"2,889","1,021","1,868"
서울특별시,용산구,"1,204",494,710
서울특별시,은평구,"1,274",217,"1,057"
서울특별시,종로구,665,178,487
서울특별시,중구,629,161,468
서울특별시,중랑구,"1,287",193,"1,094"
"세종특별자치시Sejong-si",소계,361,23,338
울산광역시,소계,"2,751",262,"2,489"
울산광역시,남구,661,87,574
울산광역시,동구,443,41,402
울산광역시,북구,386,22,364
울산광역시,울주군,689,63,626
울산광역시,중구,572,49,523
인천광역시,소계,"8,486","1,291","7,195"
인천광역시,강화군,178,9,169
인천광역시,계양구,911,98,813
인천광역시,남구,"1,287",145,"1,142"
인천광역시,남동구,"1,469",302,"1,167"
인천광역시,동구,244,21,223
인천광역시,부평구,"1,753",314,"1,439"
인천광역시,서구,"1,433",204,"1,229"
인천광역시,연수구,694,134,560
인천광역시,옹진군,36,0,36
인천광역시,중구,481,64,417
전라남도,소계,"6,861",201,"6,660"
전라남도,강진군,158,3,155
전라남도,고흥군,254,3,251
전라남도,곡성군,142,2,140
전라남도,광양시,510,23,487
전라남도,구례군,136,1,135
전라남도,나주시,400,14,386
전라남도,담양군,196,4,192
전라남도,목포시,696,38,658
전라남도,무안군,295,3,292
전라남도,보성군,194,1,193
전라남도,순천시,680,37,643
전라남도,신안군,189,1,188
전라남도,여수시,836,30,806
전라남도,영광군,215,5,210
전라남도,영암군,328,21,307
전라남도,완도군,196,1,195
전라남도,장성군,251,4,247
전라남도,장흥군,189,0,189
전라남도,진도군,153,1,152
전라남도,함평군,173,1,172
전라남도,해남군,336,3,333
전라남도,화순군,334,5,329
전라북도,소계,"5,795",255,"5,540"
전라북도,고창군,288,1,287
전라북도,군산시,846,47,799
전라북도,김제시,364,11,353
전라북도,남원시,353,5,348
전라북도,무주군,115,2,113
전라북도,부안군,222,2,220
전라북도,순창군,168,1,167
전라북도,완주군,360,11,349
전라북도,익산시,"1,014",62,952
전라북도,임실군,139,2,137
전라북도,장수군,135,2,133
전라북도,전주시 덕진구,606,42,564
전라북도,전주시 완산구,617,44,573
전라북도,정읍시,415,19,396
전라북도,진안군,153,4,149
제주특별자치도,소계,"1,803",167,"1,636"
제주특별자치도,서귀포시,558,25,533
제주특별자치도,제주시,"1,245",142,"1,103"
충청남도,소계,"7,570",537,"7,033"
충청남도,계룡시,51,5,46
충청남도,공주시,463,35,428
충청남도,금산군,343,3,340
충청남도,논산시,498,14,484
충청남도,당진군,396,14,382
충청남도,당진시,264,18,246
충청남도,보령시,392,18,374
충청남도,부여군,373,7,366
충청남도,서산시,579,41,538
충청남도,서천군,186,1,185
충청남도,아산시,"1,140",142,998
충청남도,연기군,3,0,3
충청남도,예산군,328,15,313
충청남도,천안시 동남구,925,102,823
충청남도,천안시 서북구,941,105,836
충청남도,청양군,176,0,176
충청남도,태안군,205,4,201
충청남도,홍성군,307,13,294
충청북도,소계,"4,696",377,"4,319"
충청북도,괴산군,156,5,151
충청북도,단양군,118,3,115
충청북도,보은군,156,2,154
충청북도,영동군,209,6,203
충청북도,옥천군,226,7,219
충청북도,음성군,498,44,454
충청북도,제천시,396,32,364
충청북도,증평군,141,4,137
충청북도,진천군,336,35,301
충청북도,청원군,582,38,544
충청북도,청주시 상당구,485,45,440
충청북도,청주시 흥덕구,819,102,717
충청북도,충주시,574,54,520
