시도,시군구,성별,총계,거주(F-2),국민배우자(F-2-1),영주(F-5),국민배우자(F-5-2),결혼이민(F-6),국민배우자(F-6-1),자녀양육(F-6-2),혼인단절(F-6-3)
강원도,소계,계,"3,619",80,80,716,716,"2,823","2,757",22,44
강원도,소계,남,247,1,0,48,0,198,0,0,0
강원도,소계,여,"3,372",79,0,668,0,"2,625",0,0,0
강원도,강릉시,계,427,6,6,69,69,352,347,1,4
강원도,강릉시,남,34,0,0,8,8,26,26,0,0
강원도,강릉시,여,393,6,6,61,61,326,321,1,4
강원도,고성군,계,71,0,0,10,10,61,60,0,1
강원도,고성군,남,2,0,0,1,1,1,1,0,0
강원도,고성군,여,69,0,0,9,9,60,59,0,1
강원도,동해시,계,188,4,4,29,29,155,151,1,3
강원도,동해시,남,10,0,0,3,3,7,7,0,0
강원도,동해시,여,178,4,4,26,26,148,144,1,3
강원도,삼척시,계,202,5,5,33,33,164,161,2,1
강원도,삼척시,남,6,0,0,3,3,3,3,0,0
강원도,삼척시,여,196,5,5,30,30,161,158,2,1
강원도,속초시,계,152,0,0,39,39,113,110,2,1
강원도,속초시,남,10,0,0,1,1,9,9,0,0
강원도,속초시,여,142,0,0,38,38,104,101,2,1
강원도,양구군,계,107,0,0,38,38,69,69,0,0
강원도,양구군,남,2,0,0,0,0,2,2,0,0
강원도,양구군,여,105,0,0,38,38,67,67,0,0
강원도,양양군,계,84,0,0,22,22,62,60,1,1
강원도,양양군,남,2,0,0,0,0,2,2,0,0
강원도,양양군,여,82,0,0,22,22,60,58,1,1
강원도,영월군,계,120,7,7,15,15,98,95,1,2
강원도,영월군,남,3,0,0,1,1,2,2,0,0
강원도,영월군,여,117,7,7,14,14,96,93,1,2
강원도,원주시,계,658,18,18,126,126,514,492,8,14
강원도,원주시,남,72,0,0,11,11,61,60,0,1
강원도,원주시,여,586,18,18,115,115,453,432,8,13
강원도,인제군,계,81,3,3,16,16,62,62,0,0
강원도,인제군,남,1,0,0,0,0,1,1,0,0
강원도,인제군,여,80,3,3,16,16,61,61,0,0
강원도,정선군,계,136,6,6,26,26,104,101,1,2
강원도,정선군,남,6,0,0,1,1,5,5,0,0
강원도,정선군,여,130,6,6,25,25,99,96,1,2
