도로형태,차량용도_대,차량용도_중,차량용도,발생건수,사망자수,부상자수,중상,경상,부상신고
터널안,사업용,노선버스,시내버스,5,0,10,3,6,1
터널안,사업용,노선버스,고속버스,1,0,4,2,2,0
터널안,사업용,전세버스,전세버스,3,0,25,5,19,1
터널안,사업용,택시,법인택시,44,0,96,17,74,5
터널안,사업용,택시,개인택시,8,0,21,7,13,1
터널안,사업용,화물차,화물차,38,4,77,21,55,1
터널안,사업용,렌터카,렌터카,33,1,67,12,50,5
터널안,사업용,콘크리트믹서,콘크리트믹서,1,0,2,0,2,0
터널안,사업용,덤프트럭,덤프트럭,3,0,11,3,8,0
터널안,사업용,기타/건설기계,기타/건설기계,8,0,15,3,12,0
터널안,비사업용,승용차,승용차,423,14,963,184,703,76
터널안,비사업용,버스,버스,11,0,22,2,20,0
터널안,비사업용,화물차,화물차,80,3,183,67,108,8
터널안,비사업용,기타/건설기계,기타/건설기계,9,1,20,5,13,2
터널안,이륜차,이륜차,이륜차,35,5,38,13,19,6
터널안,원동기장치자전거,원동기장치자전거,원동기장치자전거,10,0,13,5,4,4
터널안,자전거,자전거,자전거,5,0,5,4,0,1
터널안,기타,기타,기타,2,0,3,1,2,0
터널안,불명,불명,불명,6,0,6,1,4,1
교량위,사업용,노선버스,마을버스,1,0,1,0,1,0
교량위,사업용,노선버스,시내버스,19,1,41,8,30,3
교량위,사업용,노선버스,시외버스,7,0,27,15,10,2
교량위,사업용,전세버스,전세버스,7,2,88,47,39,2
교량위,사업용,택시,법인택시,109,0,190,28,156,6
교량위,사업용,택시,개인택시,26,1,41,5,35,1
교량위,사업용,화물차,화물차,75,3,125,25,96,4
교량위,사업용,렌터카,렌터카,56,2,114,14,90,10
교량위,사업용,위험물운송,위험물운송,3,0,3,0,3,0
교량위,사업용,덤프트럭,덤프트럭,2,0,4,1,3,0
교량위,사업용,기타/건설기계,기타/건설기계,23,0,32,9,22,1
교량위,비사업용,승용차,승용차,678,31,1274,265,926,83
교량위,비사업용,버스,버스,15,3,39,16,23,0
교량위,비사업용,어린이통학버스,어린이통학버스,1,0,1,1,0,0
교량위,비사업용,화물차,화물차,152,11,282,90,176,16
교량위,비사업용,기타/건설기계,기타/건설기계,20,2,38,10,24,4
교량위,이륜차,이륜차,이륜차,66,7,76,34,40,2
교량위,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),5,1,5,2,2,1
교량위,원동기장치자전거,원동기장치자전거,원동기장치자전거,13,1,13,6,6,1
교량위,자전거,자전거,자전거,29,1,31,12,15,4
교량위,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),1,0,1,1,0,0
교량위,농기계,농기계,농기계,1,1,0,0,0,0
교량위,기타,기타,기타,6,0,13,3,10,0
교량위,불명,불명,불명,42,0,60,12,37,11
고가도로위,사업용,노선버스,마을버스,1,0,1,0,1,0
고가도로위,사업용,노선버스,시내버스,7,0,8,2,6,0
고가도로위,사업용,노선버스,시외버스,1,0,1,0,1,0
고가도로위,사업용,노선버스,고속버스,1,0,5,1,2,2
고가도로위,사업용,전세버스,전세버스,3,1,2,0,2,0
고가도로위,사업용,택시,법인택시,65,1,139,20,112,7
고가도로위,사업용,택시,개인택시,13,0,30,7,20,3
고가도로위,사업용,화물차,화물차,35,2,68,15,42,11
고가도로위,사업용,렌터카,렌터카,20,0,37,7,25,5
고가도로위,사업용,위험물운송,위험물운송,1,0,4,1,3,0
고가도로위,사업용,기타/건설기계,기타/건설기계,5,0,10,3,6,1
고가도로위,비사업용,승용차,승용차,333,12,660,165,445,50
고가도로위,비사업용,버스,버스,9,1,16,5,10,1
고가도로위,비사업용,어린이통학버스,어린이통학버스,1,0,2,0,2,0
고가도로위,비사업용,화물차,화물차,55,1,101,12,85,4
고가도로위,비사업용,기타/건설기계,기타/건설기계,3,0,4,3,1,0
고가도로위,이륜차,이륜차,이륜차,18,1,20,9,10,1
고가도로위,원동기장치자전거,원동기장치자전거,원동기장치자전거,5,0,5,2,2,1
고가도로위,자전거,자전거,자전거,3,0,3,2,1,0
고가도로위,기타,기타,기타,4,0,7,3,4,0
고가도로위,불명,불명,불명,4,0,4,1,3,0
지하차도(도로)내,사업용,노선버스,마을버스,2,0,5,1,4,0
지하차도(도로)내,사업용,노선버스,시내버스,10,0,23,6,15,2
지하차도(도로)내,사업용,전세버스,전세버스,2,0,2,1,1,0
지하차도(도로)내,사업용,택시,법인택시,43,1,64,16,45,3
지하차도(도로)내,사업용,택시,개인택시,11,0,23,9,13,1
지하차도(도로)내,사업용,화물차,화물차,21,2,29,6,19,4
지하차도(도로)내,사업용,렌터카,렌터카,17,2,31,4,25,2
지하차도(도로)내,사업용,위험물운송,위험물운송,1,0,1,0,1,0
지하차도(도로)내,사업용,기타/건설기계,기타/건설기계,4,0,7,1,6,0
지하차도(도로)내,비사업용,승용차,승용차,244,4,419,74,317,28
지하차도(도로)내,비사업용,버스,버스,5,0,11,1,9,1
지하차도(도로)내,비사업용,어린이통학버스,어린이통학버스,2,0,2,1,1,0
지하차도(도로)내,비사업용,화물차,화물차,44,1,80,19,58,3
지하차도(도로)내,비사업용,기타/건설기계,기타/건설기계,4,0,10,5,5,0
지하차도(도로)내,이륜차,이륜차,이륜차,23,1,27,13,8,6
지하차도(도로)내,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),1,0,1,0,1,0
지하차도(도로)내,원동기장치자전거,원동기장치자전거,원동기장치자전거,8,0,9,4,3,2
지하차도(도로)내,자전거,자전거,자전거,12,0,13,3,9,1
지하차도(도로)내,기타,기타,기타,2,0,7,0,7,0
지하차도(도로)내,불명,불명,불명,7,0,8,3,2,3
기타단일로,사업용,노선버스,마을버스,498,2,689,170,446,73
기타단일로,사업용,노선버스,시내버스,3111,35,4305,1299,2673,333
기타단일로,사업용,노선버스,시외버스,437,23,916,209,639,68
기타단일로,사업용,노선버스,고속버스,107,9,379,78,273,28
기타단일로,사업용,전세버스,전세버스,497,15,1398,291,892,215
기타단일로,사업용,특수여객(장의),특수여객(장의),4,0,5,0,5,0
기타단일로,사업용,택시,법인택시,7121,75,10278,2016,7671,591
기타단일로,사업용,택시,개인택시,2664,38,3533,1023,2309,201
기타단일로,사업용,화물차,화물차,3516,177,5606,1424,3885,297
기타단일로,사업용,렌터카,렌터카,3850,78,6031,1339,4311,381
기타단일로,사업용,위험물운송,위험물운송,48,3,115,30,78,7
기타단일로,사업용,콘크리트믹서,콘크리트믹서,15,0,30,10,19,1
기타단일로,사업용,덤프트럭,덤프트럭,42,0,60,20,38,2
기타단일로,사업용,기타/건설기계,기타/건설기계,1016,46,1563,371,1121,71
기타단일로,비사업용,승용차,승용차,52642,1079,79314,18319,56470,4525
기타단일로,비사업용,버스,버스,1171,34,1888,512,1239,137
기타단일로,비사업용,어린이통학버스,어린이통학버스,320,3,488,117,310,61
기타단일로,비사업용,화물차,화물차,10427,451,15506,4449,10289,768
기타단일로,비사업용,위험물운송,위험물운송,6,1,6,1,4,1
기타단일로,비사업용,콘크리트믹서,콘크리트믹서,4,0,8,2,6,0
기타단일로,비사업용,덤프트럭,덤프트럭,4,0,7,2,5,0
기타단일로,비사업용,기타/건설기계,기타/건설기계,1011,29,1575,447,1029,99
기타단일로,이륜차,이륜차,이륜차,6191,234,7250,2204,3890,1156
기타단일로,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),206,29,209,98,86,25
기타단일로,원동기장치자전거,원동기장치자전거,원동기장치자전거,1955,67,2266,698,1208,360
기타단일로,자전거,자전거,자전거,2742,64,2900,885,1385,630
기타단일로,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),62,3,64,21,34,9
기타단일로,농기계,농기계,농기계,265,47,278,106,158,14
기타단일로,기타,기타,기타,217,13,296,75,187,34
기타단일로,불명,불명,불명,2387,0,2630,397,1621,612
교차로내,사업용,노선버스,마을버스,177,3,321,90,205,26
교차로내,사업용,노선버스,시내버스,848,20,1535,400,1044,91
교차로내,사업용,노선버스,시외버스,146,9,278,56,208,14
교차로내,사업용,노선버스,고속버스,22,1,33,2,31,0
교차로내,사업용,전세버스,전세버스,285,9,550,123,402,25
교차로내,사업용,특수여객(장의),특수여객(장의),1,0,1,1,0,0
교차로내,사업용,택시,법인택시,4125,18,6969,1425,5150,394
교차로내,사업용,택시,개인택시,1832,15,3013,772,2087,154
교차로내,사업용,화물차,화물차,1506,28,2194,614,1514,66
교차로내,사업용,렌터카,렌터카,2244,14,3940,848,2821,271
교차로내,사업용,위험물운송,위험물운송,27,2,34,13,20,1
교차로내,사업용,콘크리트믹서,콘크리트믹서,4,0,8,1,7,0
교차로내,사업용,덤프트럭,덤프트럭,19,1,31,7,18,6
교차로내,사업용,기타/건설기계,기타/건설기계,476,16,716,217,469,30
교차로내,비사업용,승용차,승용차,36013,308,58528,13817,41921,2790
교차로내,비사업용,버스,버스,899,8,1604,424,1063,117
교차로내,비사업용,어린이통학버스,어린이통학버스,272,2,438,115,261,62
교차로내,비사업용,화물차,화물차,6342,139,9588,2773,6431,384
교차로내,비사업용,위험물운송,위험물운송,2,1,1,1,0,0
교차로내,비사업용,콘크리트믹서,콘크리트믹서,1,0,1,0,1,0
교차로내,비사업용,덤프트럭,덤프트럭,2,0,3,1,2,0
교차로내,비사업용,기타/건설기계,기타/건설기계,642,11,1046,299,683,64
교차로내,이륜차,이륜차,이륜차,4622,100,5961,1624,3398,939
교차로내,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),95,4,109,28,70,11
교차로내,원동기장치자전거,원동기장치자전거,원동기장치자전거,1406,32,1789,480,1053,256
교차로내,자전거,자전거,자전거,1392,26,1453,414,703,336
교차로내,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),22,0,26,5,18,3
교차로내,농기계,농기계,농기계,118,6,141,43,90,8
교차로내,기타,기타,기타,110,1,172,37,123,12
교차로내,불명,불명,불명,735,0,830,112,568,150
교차로횡단보도내,사업용,노선버스,마을버스,35,2,35,25,10,0
교차로횡단보도내,사업용,노선버스,시내버스,140,14,154,78,72,4
교차로횡단보도내,사업용,노선버스,시외버스,20,5,15,12,3,0
교차로횡단보도내,사업용,노선버스,고속버스,5,0,6,3,3,0
교차로횡단보도내,사업용,전세버스,전세버스,55,2,66,47,19,0
교차로횡단보도내,사업용,택시,법인택시,465,12,507,218,265,24
교차로횡단보도내,사업용,택시,개인택시,290,7,306,144,152,10
교차로횡단보도내,사업용,화물차,화물차,158,9,166,86,78,2
교차로횡단보도내,사업용,렌터카,렌터카,194,4,226,105,107,14
교차로횡단보도내,사업용,위험물운송,위험물운송,3,1,2,2,0,0
교차로횡단보도내,사업용,덤프트럭,덤프트럭,2,1,1,0,1,0
교차로횡단보도내,사업용,기타/건설기계,기타/건설기계,45,6,44,21,23,0
교차로횡단보도내,비사업용,승용차,승용차,3578,69,3815,1762,1949,104
교차로횡단보도내,비사업용,버스,버스,80,4,85,41,42,2
교차로횡단보도내,비사업용,어린이통학버스,어린이통학버스,47,1,50,20,29,1
교차로횡단보도내,비사업용,화물차,화물차,633,28,649,342,293,14
교차로횡단보도내,비사업용,기타/건설기계,기타/건설기계,70,2,75,38,35,2
교차로횡단보도내,이륜차,이륜차,이륜차,469,5,561,211,299,51
교차로횡단보도내,사륜오토바이(ATV),사륜오토바이(ATV),사륜오토바이(ATV),2,0,2,0,2,0
교차로횡단보도내,원동기장치자전거,원동기장치자전거,원동기장치자전거,133,1,163,63,80,20
교차로횡단보도내,자전거,자전거,자전거,318,12,316,83,162,71
교차로횡단보도내,개인형이동수단(PM),개인형이동수단(PM),개인형이동수단(PM),3,0,3,0,2,1
교차로횡단보도내,기타,기타,기타,11,1,11,4,7,0
교차로횡단보도내,불명,불명,불명,271,0,271,31,174,66
교차로부근,사업용,노선버스,마을버스,122,2,161,34,117,10
교차로부근,사업용,노선버스,시내버스,670,15,1082,262,750,70
교차로부근,사업용,노선버스,시외버스,96,6,179,38,124,17
교차로부근,사업용,노선버스,고속버스,22,0,29,12,16,1
교차로부근,사업용,전세버스,전세버스,165,2,305,66,229,10
교차로부근,사업용,특수여객(장의),특수여객(장의),2,0,4,0,4,0
교차로부근,사업용,택시,법인택시,2182,11,3394,537,2663,194
교차로부근,사업용,택시,개인택시,797,4,1194,278,848,68
교차로부근,사업용,화물차,화물차,911,23,1476,363,1048,65
교차로부근,사업용,렌터카,렌터카,1174,11,1929,318,1510,101
교차로부근,사업용,위험물운송,위험물운송,6,0,14,2,12,0
교차로부근,사업용,콘크리트믹서,콘크리트믹서,2,0,4,0,4,0
교차로부근,사업용,덤프트럭,덤프트럭,10,1,16,5,11,0
교차로부근,사업용,기타/건설기계,기타/건설기계,293,6,497,143,331,23
