개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,
비산도서관,비산도서관,기타,매주 월요일,09:00,20:00,09:00,17:00,N,,,,,60,489,"유아자료실, 어린이자료실, 종합자료실, 문화강좌실",인터넷,http://lib.dgs.go.kr/content/06intro/07_02.php,대구광역시 서구 달서로 14길 13,,대구광역시 서구청,기획예산실,053-663-3721,http://lib.dgs.go.kr,35.8685332,128.5733022,2018-02-20,
서구어린이도서관,서구어린이도서관,기타,"매주 월요일, 공휴일",09:00,18:00,09:00,17:00,N,,,,,360,1624,"유아열람실, 어린이열람실, 시청각실, 문화교실, 전시.체험공간, 북까페 등",인터넷,http://lib.dgs.go.kr/content/06intro/07_02.php,대구광역시 서구 문화로 123,,대구광역시 서구청,기획예산실,053-663-3701,http://lib.dgs.go.kr,35.8685332,128.5733022,2018-02-20,
내당4동 어린이도서관,내당4동 어린이도서관,기타,"토,일요일, 공휴일",09:00,18:00,00:00,00:00,N,,,,,12,64,,,,대구광역시 서구 서대구로3길 46,,대구광역시 서구청,,053-663-4234,,35.858891,128.551749,2018-02-20,
새마을문고 서구지부,새마을문고 서구지부,기타,"토,일요일, 공휴일",10:00,17:00,00:00,00:00,N,,,,,40,125,,,,대구광역시 서구 달서로26길 35-8,,새마을문고 서구지부,,053-554-5163,,35.872678,128.575354,2018-02-20,
서구청 작은도서관,서구청 작은도서관,기타,"토,일요일, 공휴일",09:00,18:00,00:00,00:00,N,,,,,19,70,,,,대구광역시 서구 국채보상로 257(평리동),,대구광역시 서구청,,053-663-3637,,35.871750,128.559169,2018-02-20,
비산7동 작은도서관,비산7동 작은도서관,기타,"월,일요일, 공휴일",09:00,18:00,09:00,18:00,N,,,,,30,88,,,,대구광역시 서구 서대구로63안길 30-22(비산동),,대구광역시 서구청,,053-663-3649,,35.885911,128.553929,2018-02-20,
내당2.3동 드림도서관,내당2.3동 드림도서관,기타,"월, 공휴일",09:00,18:00,09:00,18:00,N,,,,,55,179,"유아자료실, 어린이자료실, 종합자료실",,,대구광역시 서구 달서로5길 31-1,,대구광역시 서구청,,053-521-9100,,35.864275,128.568690,2018-02-20,
만평주민도서관,만평주민도서관,기타,"일요일, 공휴일",10:00,17:00,10:00,17:00,N,,,,,20,59,,,,대구광역시 서구 서대구로66길 29-1(비산동),,사단법인 자원봉사능력개발원,,053-356-0465,,35.887176,128.568276,2018-02-20,
마을도서관 햇빛따라,마을도서관 햇빛따라,기타,"월,일요일, 공휴일",10:00,19:00,10:00,17:00,N,,,,,60,173,,,,대구광역시 서구 북비산로 359(비산동),,마을도서관 햇빛따라,,070-8821-5234,,35.879609,128.572733,2018-02-20,
옹달샘 작은도서관,옹달샘 작은도서관,기타,"토,일요일, 공휴일",10:00,18:00,00:00,00:00,N,,,,,20,66,,,,대구광역시 서구 달서로15길 7(비산동),,옹달샘 작은도서관,,070-8272-7943,,35.869575,128.570343,2018-02-20,
세토 작은도서관,세토 작은도서관,기타,"일요일, 공휴일",10:00,18:00,10:00,16:00,N,,,,,10,42,,,,대구광역시 서구 국채보상로 38길 59(평리4동),,세토 작은도서관,,053-248-7399,,35.864472,128.553323,2018-02-20,
별이난마을도서관,별이난마을도서관,기타,"일요일, 공휴일",10:00,18:00,10:00,16:00,N,,,,,43,82,,,,대구광역시 서구 서대구로 11길 38,,경운교회,,053-526-2182,,35.862169,128.551897,2018-02-20,
중리롯데 작은도서관,중리롯데 작은도서관,기타,"토,일요일, 공휴일",10:00,17:00,00:00,00:00,N,,,,,16,85,,,,"대구광역시 서구 국채보상로 34길 12, 118동 지하1층",,중리롯데 작은도서관,,053-522-0548,,35.867068,128.547268,2018-02-20,
강서구 가양3동주민센터 2층 작은도서관,가양3동주민센터,기타,매주 일요일,09:00,17:30,10:00,15:00,N,,,,,30,230,"보유장서 5,519권",방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/30/S160330171854533022&n=NaqSaaF45xG26S1sgwFhWQwsy2W3U9_299556&on=가양3동 작은도서관.jpg,서울특별시 강서구 허준로 202,,서울특별시 강서구청,가양3동주민센터,02-2600-7848,http://yeyak.seoul.go.kr/,37.5610415,126.8517988,2018-02-19,
