기간	자치구	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	시설합계	시설수	종사자수	경로당	노인교실
2017	합계	3,816	81	1,574	3,363	372
2017	종로구	71	3	105	57	11
2017	중구	52	2	55	47	3
2017	용산구	112	2	67	85	25
2017	성동구	178	3	64	159	16
2017	광진구	110	1	63	97	12
2017	동대문구	149	1	26	133	15
2017	중랑구	133	4	114	121	8
2017	성북구	176	5	46	161	10
2017	강북구	114	2	43	96	16
2017	도봉구	147	5	94	135	7
2017	노원구	265	2	41	245	18
2017	은평구	176	7	96	153	16
2017	서대문구	119	5	51	104	10
2017	마포구	170	4	58	152	14
2017	양천구	193	4	58	163	26
2017	강서구	228	5	59	200	23
2017	구로구	211	2	42	190	19
2017	금천구	79	3	73	70	6
2017	영등포구	201	3	45	169	29
2017	동작구	152	2	55	135	15
2017	관악구	130	1	33	113	16
2017	서초구	145	3	63	132	10
2017	강남구	193	6	85	166	21
2017	송파구	183	3	49	163	17
2017	강동구	129	3	89	117	9
