기간	대분류	분류	직장	노인정경로당	복지관노인교실	자원봉사활동기관이나모임	취미활동모임	종교단체모임	시민단체사회단체	기타	직장이나 특별한 모임이 없음
2016	서울시	서울시	16.9	33.9	14.8	2.1	14	20.8	1.3	0.4	33.8
2016	성별	남자	21.1	32.9	16.1	1.6	14.8	21.1	1.4	0.1	29.2
2016	성별	여자	12.8	34.9	13.4	2.6	13.1	20.5	1.2	0.6	38.3
2016	연령별	65세 이상	16.9	33.9	14.8	2.1	14	20.8	1.3	0.4	33.8
2016	학력별	중졸 이하	5.3	40	15.8	2.5	15.8	21.3	1.3	0.7	35
2016	학력별	고졸 이하	20.4	31.6	16.1	1.2	15.1	22.3	1.3	0.1	32.3
2016	학력별	대졸 이하	34.8	26.2	11	3.1	8.5	18.3	1.4	0.2	33.1
2016	학력별	대학원 이상	36.3	11.4	2	-	6	4.5	-	-	45.2
2016	소득별	100만원 미만	4.7	45.3	7.7	1.2	13.7	26.2	-	-	34.6
2016	소득별	100-200만원 미만	7.6	38.4	15.8	3.7	14.2	21.1	1.9	1	35.6
2016	소득별	200-300만원 미만	17	36.6	18.5	1.2	15.2	23.5	2.1	-	31.2
2016	소득별	300-400만원 미만	21.8	32.6	7.7	1.1	12	24.3	0.6	0.2	36.5
2016	소득별	400-500만원 미만	26.1	28.8	15	1	14.5	19.7	0.6	0.5	30.6
2016	소득별	500만원 이상	24.1	26.8	17.5	2.1	13.8	15.3	1.4	-	33.1
2016	혼인상태별	기혼	19	32.2	15.1	1.9	13.3	20.4	0.8	0.2	33.5
2016	혼인상태별	미혼	26.1	11.5	15.2	-	11.9	39.5	-	-	53.5
2016	혼인상태별	이혼/별거	18.4	22.8	8.8	3.9	23.4	9.8	4.3	-	42.9
2016	혼인상태별	사별	12.7	38.9	14.9	2.2	13.9	22.7	1.9	0.9	33
2016	지역대분류	도심권	13.2	35.6	16.6	3.6	13.5	22.6	0.4	-	32.7
2016	지역대분류	동북권	16.9	33.1	14.3	2.2	12.4	21.4	1.3	0.5	34.7
2016	지역대분류	서북권	16.7	34.7	11.3	2.1	17.5	17.8	2.4	0.4	37.7
2016	지역대분류	서남권	17.3	32.5	17.1	2.4	13.4	21.5	1.5	0.5	33.6
2016	지역대분류	동남권	17.3	36.7	13.3	0.9	15.4	19.9	0.4	0.2	30.2
2016	종로구	종로구	16.8	47.3	17.6	7.9	13	17.5	0.3	-	20.7
2016	중구	중구	10.4	33.5	14.7	2.4	20.5	33.2	1.2	-	30.1
2016	용산구	용산구	12.2	26.9	17	0.7	9	19.8	-	-	44.9
2016	성동구	성동구	9.8	40.2	17.6	1.2	12.3	21.5	-	-	33.5
2016	광진구	광진구	20	27.7	13	7.9	14.1	23.1	0.6	-	33.9
2016	동대문구	동대문구	11.5	40.9	10.2	2.2	17.5	16.9	1.7	2.6	33.7
2016	중랑구	중랑구	22.3	33.9	13.4	1	8.7	17.2	0.9	-	30.9
2016	성북구	성북구	18.4	31.1	13.3	0.8	9	22.8	0.8	0.5	35.4
2016	강북구	강북구	11.9	28.1	24.4	4.4	12.6	32.2	5	-	28.8
2016	도봉구	도봉구	25.2	25.9	9.5	-	8.2	25.8	0.9	-	37.7
2016	노원구	노원구	17.2	34	14	1.5	15.5	16.5	0.7	0.3	41.1
2016	은평구	은평구	11.8	38.1	8.5	2.1	23	15	1.5	0.1	41.1
2016	서대문구	서대문구	27.4	28	12.5	0.5	13.6	15.7	2.4	1	35.9
2016	마포구	마포구	15.3	35.2	14.2	3.5	12.5	23.7	3.9	0.2	34.1
2016	양천구	양천구	8.8	28.5	15.9	3.5	12.1	24	1.6	0.6	43.6
2016	강서구	강서구	23	33.3	9.4	3.7	10.7	18.6	1.8	1.1	32
2016	구로구	구로구	16.5	40.7	15.5	1.5	16.6	24	2.4	0.8	30.9
2016	금천구	금천구	14.1	35.9	22.5	2	10.3	19.8	1.7	-	34.6
2016	영등포구	영등포구	25.1	24.3	4.6	1.9	8.9	17.1	1.6	-	45.2
2016	동작구	동작구	16.7	29.8	25	3.6	18.7	20.8	2.1	0.9	28.1
2016	관악구	관악구	16.4	34.3	26.3	0.7	14.7	24.1	-	-	25
2016	서초구	서초구	12.5	40.7	6.4	3.3	18.4	19.4	-	-	35.1
2016	강남구	강남구	14.1	40.3	13.6	-	15.3	16.3	0.3	-	32
2016	송파구	송파구	22.7	37.7	17	1	16.2	23.7	0.9	0.6	21.6
2016	강동구	강동구	17.2	28.6	13.3	-	12.3	19.1	-	-	36.1
