연령대구분,시간대구분(2H),합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
합계,사망자수,"4,185",303,243,350,333,318,363,314,371,377,512,369,332
합계,구성비(%),100.0,7.2,5.8,8.4,8.0,7.6,8.7,7.5,8.9,9.0,12.2,8.8,7.9
20세이하,사망자수,216,28,21,26,11,12,6,9,16,20,28,23,16
20세이하,구성비(%),100.0,13.0,9.7,12.0,5.1,5.6,2.8,4.2,7.4,9.3,13.0,10.6,7.4
21세이상~30세이하,사망자수,326,52,56,48,12,15,12,11,11,14,19,21,55
21세이상~30세이하,구성비(%),100.0,16.0,17.2,14.7,3.7,4.6,3.7,3.4,3.4,4.3,5.8,6.4,16.9
31세이상~40세이하,사망자수,326,57,39,41,10,14,22,17,19,18,22,28,39
31세이상~40세이하,구성비(%),100.0,17.5,12.0,12.6,3.1,4.3,6.7,5.2,5.8,5.5,6.7,8.6,12.0
41세이상~50세이하,사망자수,473,52,43,36,30,24,31,24,36,36,53,50,58
41세이상~50세이하,구성비(%),100.0,11.0,9.1,7.6,6.3,5.1,6.6,5.1,7.6,7.6,11.2,10.6,12.3
51세이상~60세이하,사망자수,777,66,42,47,58,47,58,59,53,70,88,108,81
51세이상~60세이하,구성비(%),100.0,8.5,5.4,6.0,7.5,6.0,7.5,7.6,6.8,9.0,11.3,13.9,10.4
61세이상~64세이하,사망자수,306,23,12,14,33,24,21,20,31,28,47,27,26
61세이상~64세이하,구성비(%),100.0,7.5,3.9,4.6,10.8,7.8,6.9,6.5,10.1,9.2,15.4,8.8,8.5
65세이상,사망자수,"1,759",24,30,138,179,182,213,174,205,190,255,112,57
65세이상,구성비(%),100.0,1.4,1.7,7.8,10.2,10.3,12.1,9.9,11.7,10.8,14.5,6.4,3.2
미분류,사망자수,2,1,0,0,0,0,0,0,0,1,0,0,0
미분류,구성비(%),100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
,,,,,,,,,,,,,,
