시도,시군구,합계,맑음,흐림,비,안개,눈,기타,미분류
합계,합계,"4,185","3,575",262,278,17,37,16,0
서울,합계,343,294,23,21,0,3,2,0
서울,종로구,13,11,1,1,0,0,0,0
서울,중구,4,4,0,0,0,0,0,0
서울,용산구,12,11,1,0,0,0,0,0
서울,성동구,15,15,0,0,0,0,0,0
서울,동대문구,25,20,2,3,0,0,0,0
서울,성북구,17,13,3,1,0,0,0,0
서울,도봉구,9,8,1,0,-,0,0,0
서울,은평구,12,9,1,2,0,0,0,0
서울,서대문구,8,7,1,0,0,0,0,0
서울,마포구,8,8,0,0,0,0,0,0
서울,강서구,12,10,1,1,0,0,0,0
서울,구로구,12,11,1,0,0,0,0,0
서울,영등포구,22,19,3,0,0,0,0,0
서울,동작구,20,19,0,0,0,1,0,0
서울,관악구,11,9,0,0,0,1,1,0
서울,강남구,19,18,0,1,0,0,0,0
서울,강동구,19,15,3,1,0,0,0,0
서울,송파구,23,21,0,2,0,0,0,0
서울,서초구,21,15,1,4,0,1,0,0
서울,양천구,13,11,1,1,0,0,0,0
서울,중랑구,6,5,0,1,0,0,0,0
서울,노원구,11,10,1,0,0,0,0,0
서울,광진구,16,12,1,2,0,0,1,0
서울,강북구,9,8,1,0,0,0,0,0
서울,금천구,6,5,0,1,0,0,0,0
부산,합계,164,141,8,14,0,0,1,0
부산,중구,4,2,2,0,-,-,0,0
부산,서구,6,5,1,0,0,-,0,0
부산,동구,6,5,1,0,-,-,0,0
부산,영도구,4,3,0,1,-,-,0,0
부산,진구,20,17,1,1,0,0,1,0
부산,동래구,8,8,0,0,0,-,0,0
부산,남구,4,3,0,1,0,-,0,0
부산,북구,17,15,0,2,0,0,0,0
부산,해운대구,9,9,0,0,-,-,0,0
부산,사하구,14,12,1,1,0,-,0,0
부산,금정구,8,7,0,1,0,0,0,0
부산,강서구,16,14,1,1,0,0,0,0
부산,연제구,5,5,0,0,0,0,0,0
부산,수영구,7,5,1,1,-,0,0,0
부산,사상구,20,16,0,4,-,0,0,0
부산,기장군,16,15,0,1,0,-,0,0
대구,합계,148,137,6,5,0,0,0,0
대구,중구,6,6,0,0,-,0,0,0
대구,동구,22,21,0,1,0,0,0,0
