연번,호선,역명,도로명주소,지번주소,우편번호,전화번호
1,5,방화역,서울특별시 강서구 금낭화로 지하132 (방화동),서울특별시 강서구 방화동 829-15,157-857,02-6311-5101
2,5,개화산역,서울특별시 강서구 양천로 22 (방화동),서울특별시 강서구 방화동 846,157-220,02-6311-5111
3,5,김포공항역,서울특별시 강서구 하늘길 지하77 (방화동),서울특별시 강서구 방화동 886,157-220,02-6311-5121
4,5,송정역,서울특별시 강서구 공항대로 지하33 (공항동),서울특별시 강서구 공항동 29-5,157-811,02-6311-5131
5,5,마곡역,서울특별시 강서구 공항대로 지하163 (가양동),서울특별시 강서구 가양동 530-6 ,157-805,02-6311-5141
6,5,발산역,서울특별시 강서구 공항대로 지하267 (가양동),서울특별시 강서구 가양동 967-3 ,157-805,02-6311-5151
7,5,우장산역,서울특별시 강서구 강서로 지하262 (화곡동),서울특별시 강서구 화곡동 1089-3,157-010,02-6311-5161
8,5,화곡역,서울특별시 강서구 화곡로 지하168 (화곡동),서울특별시 강서구 화곡동 1089-54,157-010,02-6311-5171
9,5,까치산역,서울특별시 강서구 강서로 지하54 (화곡동),서울특별시 강서구 화곡동 662-5,157-010,02-6311-5181
10,5,신정역(은행정),서울특별시 양천구 오목로 지하179 (신정동),서울특별시 양천구 신정동 1090,158-070,02-6311-5191
11,5,목동역,서울특별시 양천구 오목로 지하245 (목동),서울특별시 양천구 목동 926-3,158-050,02-6311-5201
12,5,오목교역(목동운동장앞),서울특별시 양천구 오목로 지하342 (목동),서울특별시 양천구 목동 406-30,158-806,02-6311-5211
13,5,양평역,서울특별시 영등포구 양산로 지하21 (양평동2가),서울특별시 영등포구 양평동2가 33-79 ,150-102,02-6311-5221
14,5,영등포구청역,서울특별시 영등포구 양산로 지하116 (당산동3가),서울특별시 영등포구 당산동3가 556-1,150-804,02-6311-5231
15,5,영등포시장역,서울특별시 영등포구 양산로 지하200 (영등포동5가),서울특별시 영등포구 영등포동5가 62-1,150-035,02-6311-5241
16,5,신길역,서울특별시 영등포구 경인로114가길 지하9  (영등포동1가),서울특별시 영등포구 영등포동1가 35,150-031,02-6311-5251
17,5,여의도역,서울특별시 영등포구 여의나루로 지하40 (여의도동),서울특별시 영등포구 여의도동 3,150-913,02-6311-5261
18,5,여의나루역,서울특별시 영등포구 여의동로 지하343 (여의도동),서울특별시 영등포구 여의도동 84-4,150-010,02-6311-5271
19,5,마포역,서울특별시 마포구 마포대로 지하33 (도화동),서울특별시 마포구 도화동 160 ,121-779,02-6311-5281
20,5,공덕역 ,서울특별시 마포구 마포대로 지하100 (공덕동),서울특별시 마포구 공덕동 423-29,121-805,02-6311-5291
21,5,애오개역,서울특별시 마포구 마포대로 지하210 (아현동),서울특별시 마포구 아현동 612,121-862,02-6311-5301
22,5,충정로역(경기대입구),서울특별시 서대문구 충정로 지하28-1 (충정로3가),서울특별시 서대문구 충정로3가 58-6,120-840,02-6311-5311
23,5,서대문역,서울특별시 종로구 통일로 지하126 (평동),서울특별시 종로구 평동 210,110-102,02-6311-5321
24,5,광화문역(세종문화회관),서울특별시 종로구 세종대로 지하172 (세종로),서울특별시 종로구 세종로 1-90,110-820,02-6311-5331
25,5,종로3가역(탑골공원),서울특별시 종로구 돈화문로11길 지하26 (돈의동)  ,서울특별시 종로구 낙원동 126,110-807,02-6311-5341
