시군명,사고구분명,다발지식별자,다발지역그룹식별자,법정동코드,지점번호,관할경찰서,위치정보,발생건수,사상자수,사망자수,중상자수,경상자수,부상자신고자수,경도,위도,폴리곤정보
화성시,무단횡단사고다발지현황,6345332,2017081,4159011600,132441001,경기 화성동부1,경기도 화성시 진안동(유림자원 부근),7,7,0,4,3,0,127.0402481,37.21453644,"{""type"":""Polygon"",""coordinates"":[[[128.69365533761695,34.891352616446909],[128.69364473761308,34.891195545687559],[128.69361756275146,34.891039833336869],[128.69357402068567,34.890886664872369],[128.69351444244373,34.890737206520051],[128.69343928337562,34.890592595327213],[128.69334911318558,34.890453931145956],[128.69324461912078,34.890322270291136],[128.69312659705952,34.890198614808824],[128.69299594484076,34.890083905329583],[128.69285365559364,34.889979013921796],[128.69270081440305,34.889884740519221],[128.69253858282215,34.88980180135237],[128.69236819668512,34.889730828971295],[128.69219095063411,34.889672361578555],[128.69200819597233,34.889626845756375],[128.69182132192248,34.889594626732944],[128.69163175237338,34.889575950218429],[128.69144092721751,34.8895709580801],[128.69125030127319,34.889579689254894],[128.69106132344709,34.889602076346954],[128.69087543241324,34.889637949276576],[128.69069404347346,34.889687034506828],[128.69051853658971,34.889748959668552],[128.69035024651342,34.889823251852839],[128.69019045527193,34.889909347602099],[128.69004037900132,34.890006590332774],[128.68990115935048,34.890114241238393],[128.68977385472849,34.890231479373824],[128.689659436097,34.890357413417142],[128.68955877279771,34.890491085413508],[128.689472632655,34.890631477986425],[128.68940166894828,34.890777521677435],[128.689346422754,34.890928105742383],[128.68930731646884,34.891082084525614],[128.68928464517029,34.891238285659043],[128.68927858222693,34.891395519925211],[128.68928917507426,34.891552592118735],[128.68931634199353,34.891708305586171],[128.68935987557242,34.891861474816054],[128.68941944722161,34.892010935313792],[128.68949460179135,34.892155549966823],[128.68958476642615,34.89229421617253],[128.68968925733566,34.892425880199944],[128.68980727763014,34.892549539015782],[128.68993793063166,34.892664252779042],[128.69008021989916,34.892769146645698],[128.69023306363522,34.89286342325272],[128.69039529910205,34.892946365381469],[128.69056569145474,34.893017341282622],[128.69074294257416,34.893075810001314],[128.69092570430414,34.893121328461973],[128.69111258607441,34.89315354868971],[128.69130216486869,34.893172225828593],[128.69149299725134,34.893177217122677],[128.69168363256662,34.89316848629538],[128.69187261724088,34.89314609809729],[128.69205851565437,34.893110223511428],[128.69223991117391,34.893061135234234],[128.69241542477047,34.892999208393952],[128.69258371818756,34.892924912403558],[128.69274351258437,34.892838813481674],[128.69289359062171,34.892741567417488],[128.69303281170423,34.892633914009544],[128.69316011409143,34.892516671633551],[128.69327453017746,34.892390734385785],[128.69337518959077,34.89225705942755],[128.69346132573227,34.892116665116205],[128.69353228215616,34.891970618317593],[128.69358752129529,34.891820032515703],[128.69362662096722,34.891666053419009],[128.69364928411477,34.891509851650497],[128.69365533761695,34.891352616446909]]]}"
수원시,무단횡단사고다발지현황,6345464,2017081,4111312900,133941001,경기 수원서부1,경기도 수원시 권선구 오목천동(홍성숯불갈비 부근),4,4,0,0,3,1,126.9659741,37.24631469,"{""type"":""Polygon"",""coordinates"":[[[128.59619408258234,35.871985869846199],[128.59618348843026,35.87182881443325],[128.59615611823398,35.871673107577941],[128.59611217783282,35.871519934746416],[128.59605200239247,35.871370462187052],[128.59597605182245,35.871225826154287],[128.59588490186314,35.871087129384598],[128.59577924719474,35.870955425742757],[128.59565989255012,35.870831718500995],[128.5955277458944,35.870716947780828],[128.59538381175412,35.870611988812257],[128.59522918772066,35.870517639345302],[128.59506504890825,35.87043461708857],[128.59489264566548,35.870363554322211],[128.59471328799728,35.870304992631894],[128.59452834325296,35.870259375718618],[128.59433921733833,35.870227052275688],[128.59414735018947,35.87020826881821],[128.59395420243658,35.870203166198962],[128.59376124329904,35.870211785128461],[128.59356994051015,35.870234058152562],[128.59338175046457,35.870269817856169],[128.59319810596492,35.870318791564955],[128.59302040298428,35.870380605071333],[128.59284999633843,35.870454789885507],[128.59268818082296,35.870540780701276],[128.59253618909963,35.870637922626457],[128.59239517626656,35.870745476731294],[128.59226621771816,35.870862625475738],[128.59215029367724,35.870988475553297],[128.5920482860449,35.871122070540082],[128.59196097177914,35.871262392756719],[128.59188901642096,35.871408375947574],[128.59183296525654,35.871558907163191],[128.59179324684743,35.87171284205359],[128.59177016421634,35.871869008553944],[128.59176389056202,35.872026217741556],[128.59177447603682,35.872183273691228],[128.59180183788635,35.87233898167878],[128.59184577052491,35.872492156203762],[128.59190593902272,35.872641630966328],[128.59198188368111,35.87278626964504],[128.59207302893947,35.872924969423075],[128.59217868026028,35.873056676344277],[128.59229803301247,35.873180387036712],[128.59243017928836,35.873295161274029],[128.5925741145731,35.873400123719406],[128.59272874124031,35.873494476517131],[128.5928928840959,35.873577501857397],[128.5930652926684,35.873648567366409],[128.59324465679097,35.87370713137512],[128.59342960891806,35.873752750112097],[128.59361874291966,35.873785074828639],[128.59381061861387,35.873803858970938],[128.59400377511096,35.873808961665368],[128.59419674292573,35.873800342199196],[128.5943880540614,35.87377806804281],[128.59457625186957,35.873742306645738],[128.59475990331177,35.873693330733772],[128.59493761220403,35.873631514581426],[128.59510802355086,35.873557326758906],[128.5952698424139,35.873471332663819],[128.59542183602963,35.873374187287958],[128.59556284924255,35.873266629665949],[128.5956918066465,35.873149477444734],[128.59580772805364,35.873023624036399],[128.59590973164279,35.872890025966022],[128.59599704057888,35.872749701006754],[128.59606898948269,35.872603715497519],[128.59612503326434,35.87245318245818],[128.59616474358648,35.872299246294169],[128.59618781767219,35.872143079109051],[128.59619408258234,35.871985869846199]]]}"
성남시,무단횡단사고다발지현황,6345371,2017081,4113110300,130841001,경기 성남수정1,경기도 성남시 수정구 수진동(탄리사거리 부근),8,8,1,4,3,0,127.1346012,37.4419174,"{""type"":""Polygon"",""coordinates"":[[[127.7344347548336,34.740225232443514],[127.73442599644008,34.740068058206489],[127.73440067715998,34.739912113400777],[127.73435898941884,34.739758582584869],[127.73430125122258,34.739608635640899],[127.73422790064896,34.73946341245567],[127.7341394969293,34.73932402021407],[127.73403671384833,34.739191518082549],[127.73392033099773,34.739066915423543],[127.73379123701643,34.73895115916568],[127.73365041319832,34.738845132033127],[127.73349893017935,34.73874963992845],[127.73333794356061,34.73866540923715],[127.73316867532321,34.73859308145402],[127.73299241599942,34.738533207769585],[127.73281050608369,34.738486241892709],[127.73262432948843,34.738452542769402],[127.73243530369517,34.738432367388285],[127.73224486773121,34.73842586719703],[127.73205446907966,34.738433093538418],[127.73186555819815,34.738453989544809],[127.73167957215927,34.738488398285284],[127.73149792699196,34.738536057369146],[127.73132200458629,34.738596602577303],[127.73115314397701,34.738669575092231],[127.73099262932243,34.73875441881448],[127.73084168227955,34.738850487590128],[127.73070145328147,34.738957050636728],[127.73057300844452,34.739073297977406],[127.73045732411401,34.739198343155039],[127.73035528362186,34.739331235861911],[127.7302676609044,34.739470963772888],[127.73019512381319,34.739616465162669],[127.73013822537867,34.739766630724795],[127.73009739729565,34.73992031891315],[127.73007295102025,34.740076358644401],[127.73006507343952,34.740233564635858],[127.73007382250073,34.74039073831517],[127.73009913380999,34.740546684941521],[127.73014081408387,34.740700217225232],[127.73019854554595,34.740850166141335],[127.73027189032055,34.740995390841377],[127.73036028936006,34.741134786772328],[127.73046306901445,34.741267291977728],[127.73057944979867,34.74139189790354],[127.73070854313403,34.741507656620058],[127.73084936775376,34.741613688006368],[127.73100085299014,34.741709183352725],[127.73116184426956,34.741793417074788],[127.73133111622529,34.74186574759193],[127.73150738145614,34.741925623624297],[127.73168929819569,34.741972591393818],[127.73187548232173,34.742006290995192],[127.73206451613142,34.742026468103177],[127.73225496143873,34.742032968537622],[127.7324453672352,34.742025741856366],[127.73263428608762,34.742004844029346],[127.7328202795963,34.741970434722845],[127.73300193149772,34.741922773666843],[127.73317785969992,34.741862226042116],[127.73334672608426,34.741789250737511],[127.73350724307302,34.74170440394348],[127.7336581921823,34.741608331901027],[127.73379842182126,34.741501764592215],[127.73392686586158,34.741385514801344],[127.73404254797471,34.741260466382016],[127.73414458489857,34.741127570642277],[127.73423220280279,34.740987839097627],[127.73430473398946,34.740842336261657],[127.73436162560016,34.740692168806909],[127.73440244614986,34.740538479238722],[127.73442688440889,34.740382437780568],[127.7344347548336,34.740225232443514]]]}"
광주시,무단횡단사고다발지현황,6345498,2017081,4161010100,131441001,경기 광주1,경기도 광주시 경안동(소망치과 부근),5,5,0,4,1,0,127.2581077,37.4098429,"{""type"":""Polygon"",""coordinates"":[[[128.58292221334909,35.235892660801312],[128.58291176120784,35.235735585088705],[128.58288466452549,35.235579855695661],[128.58284112704104,35.235426655561788],[128.58278148085753,35.235277152045434],[128.58270618183997,35.235132481637571],[128.58261580078573,35.23499374733661],[128.58251102651496,35.23486200329377],[128.58239265705393,35.234738253089866],[128.58226159287304,35.234623437174108],[128.58211883026914,35.234518431121217],[128.58196545790119,35.234424033040966],[128.58180264137144,35.234340961012357],[128.58163162095693,35.234269847695494],[128.58145369615593,35.234211235061089],[128.58127022339696,35.234165567198865],[128.58108259739728,35.234133193190146],[128.58089224666327,35.234114359033882],[128.58070062031979,35.234109208666602],[128.58050917596722,35.234117779562922],[128.58031936986742,35.234140008233112],[128.5801326469863,35.234175724901895],[128.57995042897019,35.234224658123694],[128.57977410095137,35.234286433997916],[128.5796050072633,35.234360584321301],[128.57944443272726,35.234446544048737],[128.57929360055232,35.234543658524039],[128.57915365702513,35.234651189025101],[128.57902566938444,35.234768318191179],[128.57891061047386,35.234894152863433],[128.57880935561187,35.235027736734345],[128.57872267602193,35.235168052208323],[128.57865123240458,35.235314033080797],[128.57859556616884,35.235464566418493],[128.57855610402754,35.235618507845629],[128.57853314374518,35.235774684375116],[128.57852686093068,35.235931909675529],[128.57853730465004,35.236088985011662],[128.57856439435335,35.236244716403171],[128.578607923215,35.236397918201689],[128.57866756266907,35.236547423870711],[128.57874285594417,35.236692095962042],[128.57883323245292,35.236830834103472],[128.57893800347784,35.236962581349772],[128.57905637110321,35.237086334924321],[128.57918743490242,35.237201153374009],[128.57933019862577,35.237306163724334],[128.57948357354471,35.237400565057705],[128.57964639399151,35.237483640097828],[128.57981741955811,35.237554755191525],[128.57999535062524,35.237613370991397],[128.58017883053844,35.237659040634242],[128.5803664643631,35.23769141498466],[128.58055682337863,35.237710249809005],[128.58074845820849,35.237715401150425],[128.58093991095899,35.23770682882752],[128.58112972514866,35.237684599050574],[128.58131645556571,35.237648881628466],[128.58149868031126,35.237599946254022],[128.58167501404864,35.237538166893188],[128.58184411230607,35.237464014532492],[128.58200469008801,35.237378051601596],[128.5821555240986,35.237280933755613],[128.58229546798356,35.237173398917534],[128.58242345452874,35.237056267257124],[128.5825385108883,35.236930429331764],[128.58263976183321,35.23679684244933],[128.58272643624719,35.236656523395382],[128.58279787362227,35.236510541160577],[128.58285353270381,35.236360006042247],[128.58289298810701,35.236206063362083],[128.58291593899705,35.23604988527282],[128.58292221334909,35.235892660801312]]]}"
고양시,무단횡단사고다발지현황,6345327,2017081,4128111900,132141001,경기 고양2,경기도 고양시 덕양구 내유동(코사마트내유점 부근),4,4,0,2,2,0,126.8437448,37.72533754,"{""type"":""Polygon"",""coordinates"":[[[129.10844499882515,35.138860169741584],[129.10843353631046,35.138702883174389],[129.10840542846657,35.138547014908575],[129.10836089083722,35.138393753087037],[129.10830026252646,35.138244262567802],[129.10822400283246,35.138099681362924],[129.1081326943241,35.137961109779383],[129.10802703170575,35.137829602453635],[129.10790781838182,35.137706161185612],[129.10777596185355,35.137591724181931],[129.10763246596642,35.137487162553981],[129.10747842197233,35.137393272323401],[129.10731500290188,35.137310767285641],[129.10714345363698,35.137240276438014],[129.1069650775857,35.137182336043622],[129.1067812333221,35.137137386070457],[129.10659331920908,35.137105769494895],[129.10640276671202,35.137087726981463],[129.10621102390729,35.137083395298895],[129.10601955219437,35.13709280736397],[129.10582980653052,35.137115891602086],[129.10564323216079,35.137152472891849],[129.10546124925915,35.13720227276832],[129.10528524199484,35.137264911370295],[129.10511655096028,35.137339912949436],[129.10495645782933,35.137426706973919],[129.10480618323558,35.13752463176187],[129.10466686827914,35.137632942839119],[129.10453957567773,35.137750815627626],[129.10442527344918,35.137877352872692],[129.10432483177814,35.138011592797589],[129.10423901430744,35.13815251282378],[129.10416847395956,35.138299040444217],[129.10411374978383,35.138450060476778],[129.10407525614016,35.138604423320935],[129.1040532861997,35.138760955729836],[129.10404800872072,35.138918464458904],[129.10405946287648,35.139075752562874],[129.10408756267645,35.139231621140389],[129.10413209289158,35.139384885617112],[129.10419271459057,35.13953437837764],[129.10426896869373,35.139678962243238],[129.10436027280215,35.13981753682603],[129.10446593232746,35.139949046497051],[129.10458514401174,35.140072492061861],[129.10471700035106,35.140186932506573],[129.10486049862064,35.140291497502069],[129.10501454423763,35.140385390967538],[129.10517796736301,35.14046789806472],[129.10534952194686,35.140538392424943],[129.10552790436702,35.140596335001732],[129.10571175587361,35.14064128666211],[129.10589967788354,35.140672904378413],[129.10609023978895,35.140690947436958],[129.10628198996889,35.14069527909561],[129.10647347115579,35.140685866380579],[129.10666322374854,35.14066278094397],[129.10684980555024,35.140626197900382],[129.10703179506365,35.140576395782595],[129.1072078079188,35.140513754519915],[129.10737650333553,35.140438749040179],[129.10753659955955,35.140351952670393],[129.10768687690793,35.140254024472497],[129.10782619095608,35.140145709968735],[129.10795348227234,35.140027833798158],[129.10806778176297,35.139901292431375],[129.10816821937908,35.139767050447077],[129.10825403154846,35.139626127809628],[129.10832456552748,35.139479598006801],[129.10837928246025,35.139328576287056],[129.10841776818927,35.139174211400771],[129.10843972983642,35.139017679333563],[129.10844499882515,35.138860169741584]]]}"
오산시,무단횡단사고다발지현황,6345552,2017081,4137010300,132441003,경기 화성동부3,경기도 오산시 원동(오산파출소앞 부근),5,5,0,1,4,0,127.0683719,37.14623446,"{""type"":""Polygon"",""coordinates"":[[[127.9500963292864,37.353012059881436],[127.95008679761135,37.352854975395502],[127.95006015257903,37.352699151247883],[127.95001659784323,37.352545773771958],[127.94995646227231,37.352396010790237],[127.94988020666104,37.352251001674453],[127.94978840900053,37.352111849290061],[127.94968176895418,37.351979613670643],[127.94956109875805,37.351855301237364],[127.94942731640177,37.351739857615229],[127.94928143880995,37.351634160449478],[127.94912457843316,37.351539015814737],[127.94895792737128,37.351455146558848],[127.9487827551165,37.351383192312966],[127.94860039268364,37.35132369873677],[127.94841223037024,37.351277120232297],[127.94821969850638,37.35124381010295],[127.94802426295232,37.35122402237419],[127.94782741152646,37.351217907338707],[127.94763064159497,37.351225512505231],[127.94743544989251,37.351246779031676],[127.9472433223861,37.351281545368799],[127.94705572185387,37.351329546405452],[127.94687407436642,37.351390418025829],[127.94669976476315,37.351463695322963],[127.94653411751958,37.351548822584938],[127.94637839447527,37.351645150598131],[127.94623377909264,37.35175194752167],[127.94610137419947,37.351868398894382],[127.94598218625173,37.351993619410614],[127.94587712196693,37.352126656536853],[127.94578698159133,37.352266497746513],[127.94571245216608,37.352412077755076],[127.94565409855623,37.352562289369132],[127.94561236687228,37.35271598978197],[127.94558757548207,37.352872008719132],[127.94557991054917,37.353029158369615],[127.94558943286756,37.35318624417642],[127.94561606772217,37.353342069381483],[127.94565961512153,37.353495447606718],[127.94571974308302,37.353645213696225],[127.94579599215632,37.353790225502799],[127.94588778454897,37.353929380079322],[127.94599442076819,37.354061619100854],[127.94611508868879,37.354185935141537],[127.94624887039566,37.35430138336811],[127.94639474896807,37.35440708331874],[127.94655161194153,37.354502231510864],[127.94671826713189,37.354586104087232],[127.94689344492684,37.354658062217091],[127.94707581412746,37.354717557446136],[127.94726398425165,37.354764138900087],[127.94745652471623,37.354797450509274],[127.94765196940496,37.354817239104612],[127.94784883021639,37.35482335346574],[127.94804560951522,37.354815748781071],[127.9482408102663,37.354794481201424],[127.94843294623291,37.35475971320934],[127.94862055437457,37.354711709064937],[127.94880220840538,37.354650835655065],[127.94897652326577,37.354577554363132],[127.9491421743365,37.354492423699021],[127.94929789965633,37.354396092078424],[127.94944251569909,37.354289292353172],[127.94957491960092,37.35417283639287],[127.94969410495203,37.354047612319235],[127.94979916510835,37.353914571872536],[127.94988929995448,37.353774728581584],[127.94996382260666,37.353629146018854],[127.95002216840568,37.3534789314553],[127.95006389036514,37.353325230468272],[127.95008867374982,37.35316921066029],[127.9500963292864,37.353012059881436]]]}"
오산시,무단횡단사고다발지현황,6345476,2017081,4137012100,132441002,경기 화성동부2,경기도 오산시 가수동(대한정형외과앞사거리 부근),6,7,1,1,4,1,127.0629595,37.14969587,"{""type"":""Polygon"",""coordinates"":[[[128.21303992173543,37.141463405187586],[128.21302987777011,37.141306340364537],[128.21300277313975,37.141150575227144],[128.21295881496852,37.140997292960243],[128.21289833521172,37.140847661568635],[128.21282179726364,37.140702818514164],[128.2127297812923,37.140563868100813],[128.21262298859651,37.140431866125653],[128.21250223257974,37.140307818131703],[128.21236843187455,37.140192666831133],[128.21222260356978,37.140087290344688],[128.21206585971404,37.139992489604658],[128.2118993915287,37.139908985747141],[128.21172446598061,37.139837414725719],[128.21154241560032,37.139778321965672],[128.21135462490639,37.139732155235528],[128.21116252255268,37.139699267399493],[128.21096757112258,37.139679908367007],[128.21077125475685,37.139674226068998],[128.21057506560462,37.139682262032565],[128.21038049937468,37.139703956816092],[128.21018903389719,37.139739144729241],[128.21000212804384,37.139787558345979],[128.20982120258324,37.139848827717195],[128.20964763688224,37.139922488502108],[128.20948274974356,37.140007979377692],[128.20932779722378,37.140104649261652],[128.20918395692283,37.140211762813387],[128.20905232578397,37.140328505854072],[128.2089339043568,37.140453988163408],[128.20882959353702,37.140587256117179],[128.20874018782663,37.140727294528894],[128.20866636869476,37.14087303930765],[128.20860869558479,37.141023379313417],[128.20856760943224,37.14117717165886],[128.20854342367929,37.141333244466267],[128.20853631991054,37.141490412216896],[128.20854635461288,37.141647476611631],[128.20857344919807,37.141803243757117],[128.20861740016554,37.14195652771086],[128.20867787244387,37.142106161338212],[128.20875440398339,37.142251006201192],[128.20884641483593,37.142389960617635],[128.20895320383309,37.142521965992167],[128.20907395769234,37.142646017579786],[128.20920775783807,37.14276117165776],[128.20935358722366,37.142866552697733],[128.20951033374243,37.142961356952242],[128.20967680610067,37.143044864079876],[128.20985173607039,37.143116437133024],[128.21003379435521,37.143175533281308],[128.21022159282779,37.143221701996652],[128.21041370372393,37.143254590347766],[128.21060866309125,37.143273950191613],[128.21080498989147,37.143279633552559],[128.2110011871639,37.143271596221382],[128.21119576344745,37.143249900331092],[128.21138723726304,37.143214711625696],[128.21157415059486,37.143166295773248],[128.21175508132126,37.143105022797542],[128.21192865328385,37.143031359805484],[128.21209354412107,37.142945865530535],[128.21224849879846,37.142849192052942],[128.21239233964198,37.142742073921021],[128.2125239697169,37.142625328129583],[128.21264238848096,37.142499842305739],[128.21274669512783,37.142366571081844],[128.21283609527384,37.14222652884245],[128.21290990764399,37.142080782471439],[128.21296757297532,37.141930440480444],[128.21300864945113,37.141776646725333],[128.21303282725839,37.141620572205248],[128.21303992173543,37.141463405187586]]]}"
시흥시,무단횡단사고다발지현황,6345520,2017081,4139013200,133541001,경기 시흥1,경기도 시흥시 정왕동(정왕동공원A 부근),5,6,0,1,4,1,126.7357127,37.34704955,"{""type"":""Polygon"",""coordinates"":[[[128.55529545595755,35.833687719790738],[128.55528494941296,35.833530657422706],[128.55525767293969,35.833374938694874],[128.55521383387014,35.833221749143583],[128.55515376656246,35.833072252447295],[128.55507792683795,35.832927588672966],[128.5549868939774,35.832788858031201],[128.55488135846957,35.832657115575451],[128.55476212523484,35.832533363962497],[128.554630100244,35.832418546358745],[128.55448629037437,35.832313535624031],[128.55433178897056,35.832219130833714],[128.5541677713216,35.832136050107131],[128.55399548574644,35.832064926179584],[128.55381624465593,35.83200630017101],[128.55363141123541,35.831960618999261],[128.55344239161491,35.831928229138832],[128.55325062492122,35.831909377610529],[128.55305757105671,35.831904208482797],[128.55286469737121,35.831912759382675],[128.55267347320228,35.831934966953114],[128.55248535430934,35.831970661579724],[128.55230176964102,35.832019571112546],[128.55212411917188,35.832081324490581],[128.55195375396761,35.832155451013897],[128.55179196962871,35.832241386710862],[128.5516399985793,35.832338477109076],[128.55149899576054,35.832445983670333],[128.55137003647712,35.832563088315609],[128.5512541009943,35.83268890077116],[128.55115207126403,35.832822462201698],[128.55106472442429,35.832962756084832],[128.5509927262506,35.83310871547954],[128.55093662239247,35.833259230314134],[128.55089684176315,35.833413152765061],[128.5508736867873,35.833569313569633],[128.55086733452799,35.83372652381874],[128.55087783129096,35.833883585822562],[128.55090509942914,35.834039305672995],[128.55094893075625,35.834192497809298],[128.55100899222109,35.834341995787703],[128.55108482492781,35.834486662208199],[128.55117585420328,35.834625396741195],[128.55128138635683,35.834757142468312],[128.55140061767702,35.834880896623638],[128.5515326411676,35.834995717748825],[128.55167645328439,35.835100732848183],[128.55183095730351,35.835195140966988],[128.55199497896348,35.835278223875093],[128.55216726873994,35.835349350556136],[128.5523465162629,35.835407978885996],[128.55253135815164,35.835453661876237],[128.55272038473126,35.835486053025903],[128.55291215995101,35.835504905246268],[128.55310522366142,35.835510075349276],[128.55329810489062,35.835501523030075],[128.55348933739467,35.835479314337043],[128.55367746514895,35.835443618017209],[128.55386105564824,35.835394706300775],[128.55403871202813,35.835332950286272],[128.55420908304345,35.835258820753793],[128.55437087074853,35.835172882686926],[128.5545228437006,35.835075788844861],[128.55466384579358,35.834968277880122],[128.55479280505588,35.834851169752248],[128.55490873793528,35.83472535486969],[128.55501076364263,35.834591790356164],[128.55509810405508,35.834451492837459],[128.55517009690334,35.834305531111774],[128.55522619230518,35.834155015360182],[128.55526596485646,35.834001090728222],[128.55528911130625,35.833844929231596],[128.55529545595755,35.833687719790738]]]}"
수원시,무단횡단사고다발지현황,6345363,2017081,4111113400,130541001,경기 수원중부1,경기도 수원시 장안구 영화동(수성중사거리 부근),5,5,0,4,1,0,127.0097977,37.29275987,"{""type"":""Polygon"",""coordinates"":[[[127.16126611469848,35.837204733242309],[127.16125835553046,35.837047550146345],[127.16123380218644,35.83689151524743],[127.16119264237537,35.836737816490391],[127.16113518678017,35.836587624127993],[127.16106187463264,35.836442080819438],[127.16097326488686,35.836302293491869],[127.16087002960003,35.836169327011376],[127.16075295619061,35.83604419337135],[127.16062293418068,35.835927844443475],[127.16048095522552,35.835821164766315],[127.16032809873465,35.835724967899864],[127.16016552748931,35.835639985595201],[127.15999447880468,35.835566863263061],[127.15981625568145,35.835506158146835],[127.15963221354801,35.835458332975115],[127.15944375253576,35.835423750531213],[127.15925230751326,35.835402674527437],[127.15905933592934,35.835395265063241],[127.15886630452638,35.835401579489613],[127.15867468493057,35.835421568790252],[127.15848593260294,35.835455081128181],[127.15830148573976,35.835501860940632],[127.15812274643383,35.835561553392978],[127.15795107735987,35.835633703466861],[127.15778778293112,35.83571776131523],[127.1576341070602,35.835813088565956],[127.1574912176516,35.835918960079702],[127.15736020436911,35.836034568450017],[127.15724206308843,35.836159034777019],[127.15713769255973,35.836291412262703],[127.15704788773223,35.836430693403457],[127.15697333307831,35.836575817182478],[127.15691459368696,35.836725679862518],[127.15687211855564,35.836879141305431],[127.15684623058713,35.837035033057276],[127.15683712765069,35.837192168268501],[127.15684487699563,35.837349352496844],[127.15686942187159,35.83750538823422],[127.1569105748269,35.837659087510296],[127.15696802319459,35.837809282727818],[127.15704132797397,35.837954828463388],[127.15712993372291,35.838094617725439],[127.15723316520997,35.838227587355583],[127.1573502362394,35.838352725267868],[127.15748025626181,35.838469077681893],[127.15762223697034,35.838575759962438],[127.15777509560651,35.838671960236937],[127.15793767043122,35.838756946653852],[127.15810872292077,35.838830071898578],[127.15828695324322,35.838890779550169],[127.15847100246324,35.83893860679364],[127.15865947134138,35.838973190785893],[127.15885092366285,35.83899426776442],[127.15904390504903,35.839001676707881],[127.15923694405281,35.838995362946036],[127.15942857322392,35.838975372810083],[127.15961733351847,35.838941859054636],[127.15980178760529,35.838895077288676],[127.15998053206489,35.838835382403026],[127.16015220735402,35.838763229499349],[127.16031550558637,35.838679167599736],[127.16046918383344,35.838583836978316],[127.16061207301124,35.83847796287376],[127.16074308675873,35.838362351004726],[127.1608612258979,35.838237880368098],[127.16096559284344,35.838105499671755],[127.16105539164762,35.837966216513742],[127.16112994131687,35.83782109020563],[127.16118867362547,35.837671224552217],[127.16123113977979,35.837517762459449],[127.16125701934206,35.837361869729705],[127.16126611469848,35.837204733242309]]]}"
김포시,무단횡단사고다발지현황,6345329,2017081,4157025324,131841001,경기 김포1,경기도 김포시 고촌읍(고촌약국 부근),6,7,0,3,3,1,126.7701531,37.60266448,"{""type"":""Polygon"",""coordinates"":[[[126.68085935258058,37.493317328800778],[126.68085245941806,37.493160166898093],[126.68082840307329,37.49300408115834],[126.68078736411005,37.492850259893366],[126.68072965562391,37.492699874300307],[126.68065571883228,37.49255406761533],[126.68056611406131,37.492413951446892],[126.68046152430368,37.492280590478451],[126.68034274618671,37.492155000604569],[126.68021068332192,37.492038136267347],[126.68006633953669,37.49193088860833],[126.67991081561837,37.491834072828766],[126.67974529350847,37.491748425377338],[126.67957103410055,37.491674598528569],[126.6793893614654,37.491613154866634],[126.67920166066993,37.491564560060766],[126.6790093585217,37.491529185436818],[126.67881391912638,37.491507300736551],[126.67861683035802,37.491499070418961],[126.67841959136126,37.491504558982001],[126.67822370246449,37.491523722780492],[126.67803065491515,37.491556418066757],[126.67784191850065,37.491602395496102],[126.67765892793969,37.491661303636853],[126.67748307828192,37.491732696148283],[126.67731570571206,37.491816028941713],[126.67715808521085,37.491910667373809],[126.67701141466225,37.492015891542565],[126.67687681253297,37.492130901677498],[126.67675530200783,37.492254820731709],[126.67664780745783,37.492386706974422],[126.67655514763241,37.49252555574467],[126.67647802873303,37.492670312020358],[126.67641703534198,37.492819872156289],[126.6763726336447,37.492973099228486],[126.67634516233804,37.493128826574967],[126.67633482798331,37.493285868578951],[126.67634171168017,37.493443030629578],[126.67636575879339,37.493599117162283],[126.67640678903976,37.493752939841166],[126.67646448958861,37.493903327426153],[126.67653841946357,37.494049136620468],[126.6766280185488,37.494189255739492],[126.67673260402434,37.494322620010074],[126.6768513793929,37.494448213437316],[126.67698344112645,37.494565081471151],[126.67712778543218,37.49467233285776],[126.67728331150673,37.494769152282558],[126.67744883734315,37.494854803186165],[126.67762310193461,37.494928633189105],[126.67780478105294,37.494990079611441],[126.67799248943405,37.49503867670002],[126.67818480004009,37.495074053059632],[126.67838024850825,37.495095938895794],[126.67857734668887,37.495104169714971],[126.6787745951513,37.495098681003988],[126.67897049327961,37.495079516412524],[126.67916354954583,37.49504681971235],[126.67935229389762,37.495000840291091],[126.67953529137525,37.494941929640966],[126.67971114671872,37.494870534178993],[126.67987852357074,37.494787198083415],[126.68003614682033,37.494692556097966],[126.68018281850017,37.494587328232569],[126.68031742010895,37.494472314370078],[126.68043892847784,37.494348391670627],[126.68054641930134,37.494216501975728],[126.68063907394321,37.494077650051274],[126.68071618635942,37.49393289101522],[126.68077717216482,37.493783328596557],[126.68082156540433,37.493630099788696],[126.6808490276381,37.493474371306363],[126.68085935258058,37.493317328800778]]]}"
