state,state2,발생건수,death,부상자수,중상자수,경상자수,부상신고자수
강원,강릉시,26,26,8,5,3,0
강원,고성군,4,5,1,0,1,0
강원,동해시,7,7,1,0,1,0
강원,삼척시,8,10,6,4,2,0
강원,속초시,5,5,3,3,0,0
강원,양구군,5,5,2,1,0,1
강원,양양군,11,11,7,6,1,0
강원,영월군,8,9,4,2,2,0
강원,원주시,35,35,41,19,16,6
강원,인제군,12,12,15,6,8,1
강원,정선군,9,9,2,1,1,0
강원,철원군,14,15,6,3,3,0
강원,춘천시,32,32,16,9,7,0
강원,태백시,6,6,1,0,1,0
강원,평창군,18,22,52,9,39,4
강원,홍천군,12,13,6,5,1,0
강원,화천군,2,2,0,0,0,0
강원,횡성군,12,12,4,2,2,0
경기,가평군,15,15,8,4,3,1
경기,고양시,40,40,39,12,20,7
경기,과천시,3,3,0,0,0,0
경기,광명시,6,6,1,0,1,0
경기,광주시,20,22,15,9,6,0
경기,구리시,7,8,4,0,4,0
경기,군포시,14,14,3,0,2,1
경기,김포시,26,26,9,6,3,0
경기,남양주시,35,36,13,6,7,0
경기,동두천시,10,10,10,1,9,0
경기,부천시,33,33,12,5,7,0
경기,성남시,30,32,10,4,5,1
경기,수원시,44,45,16,5,9,2
경기,시흥시,28,29,23,9,13,1
경기,안산시,39,41,35,15,19,1
경기,안성시,27,27,16,4,12,0
경기,안양시,18,19,3,1,2,0
경기,양주시,15,15,5,3,2,0
경기,양평군,19,20,12,3,7,2
경기,여주시,15,15,5,2,3,0
경기,연천군,7,7,11,9,2,0
경기,오산시,13,13,3,0,3,0
경기,용인시,45,46,122,21,70,31
경기,의왕시,5,5,11,1,0,10
경기,의정부시,24,24,17,11,6,0
경기,이천시,31,33,24,8,13,3
경기,파주시,36,36,21,7,14,0
경기,평택시,61,61,50,14,32,4
경기,포천시,29,29,13,9,3,1
경기,하남시,13,14,5,1,2,2
경기,화성시,58,60,26,8,16,2
경남,거제시,19,21,23,12,11,0
경남,거창군,15,15,6,4,2,0
경남,고성군,9,9,5,3,2,0
경남,김해시,33,35,11,8,3,0
경남,남해군,3,3,0,0,0,0
경남,밀양시,24,24,6,2,4,0
경남,사천시,14,15,8,5,1,2
경남,산청군,5,5,1,0,1,0
경남,양산시,18,18,6,5,1,0
경남,의령군,5,5,1,1,0,0
경남,진주시,33,33,9,7,2,0
경남,창녕군,19,19,4,2,2,0
