state,state2,발생건수,death,부상자수,중상자수,경상자수,부상신고자수
강원,강릉시,119,2,215,38,163,14
강원,고성군,18,0,28,7,12,9
강원,동해시,30,1,45,5,34,6
강원,삼척시,23,1,41,12,29,0
강원,속초시,51,0,100,17,77,6
강원,양구군,16,1,20,8,10,2
강원,양양군,22,1,34,8,22,4
강원,영월군,13,1,20,5,11,4
강원,원주시,250,1,431,96,309,26
강원,인제군,15,1,22,10,11,1
강원,정선군,30,1,44,14,30,0
강원,철원군,23,0,34,17,15,2
강원,춘천시,139,1,227,37,177,13
강원,태백시,8,1,9,2,6,1
강원,평창군,32,1,69,25,40,4
강원,홍천군,35,3,66,19,40,7
강원,화천군,9,1,11,6,3,2
강원,횡성군,15,1,20,8,6,6
경기,가평군,36,0,60,10,44,6
경기,고양시,388,3,709,125,527,57
경기,과천시,16,0,31,6,21,4
경기,광명시,84,1,163,32,103,28
경기,광주시,170,4,267,59,197,11
경기,구리시,57,0,99,13,76,10
경기,군포시,70,1,123,22,83,18
경기,김포시,190,4,303,63,218,22
경기,남양주시,224,5,340,70,242,28
경기,동두천시,31,0,52,17,31,4
경기,부천시,206,5,339,50,261,28
경기,성남시,383,7,666,147,457,62
경기,수원시,483,5,832,116,653,63
경기,시흥시,265,1,463,74,339,50
경기,안산시,342,4,656,111,499,46
경기,안성시,101,3,163,36,112,15
경기,안양시,206,6,371,54,287,30
경기,양주시,95,4,140,30,104,6
경기,양평군,62,5,100,27,58,15
경기,여주시,55,4,97,23,70,4
경기,연천군,24,0,38,8,25,5
경기,오산시,115,1,203,30,152,21
경기,용인시,358,5,578,135,352,91
경기,의왕시,56,0,91,16,61,14
경기,의정부시,142,5,232,39,163,30
경기,이천시,130,2,222,28,179,15
경기,파주시,199,6,319,64,228,27
경기,평택시,310,10,573,84,411,78
경기,포천시,115,8,198,45,122,31
경기,하남시,67,4,109,19,68,22
경기,화성시,377,12,658,114,486,58
경남,거제시,102,4,189,61,116,12
경남,거창군,23,0,44,20,20,4
