구분,내부순환로 ,강변북로,북부간선도로,올림픽대로,동부간선도로,분당수서로,경부고속도로,서부간선도로,강남순환로
1월,"159,109 ","244,834 ","105,303 ","241,465 ","150,937 ","127,666 ","190,387 ","115,972 ","104,440 "
2월,"162,086 ","253,010 ","103,662 ","254,495 ","154,492 ","133,899 ","198,469 ","111,281 ","112,129 "
3월,"162,696 ","255,960 ","108,813 ","251,119 ","153,325 ","136,390 ","203,690 ",-,"113,885 "
4월,"160,920 ","251,254 ","108,355 ","255,930 ","155,802 ","137,781 ","208,025 ","116,662 ","123,076 "
5월,"158,427 ","247,928 ","109,250 ","254,500 ","153,007 ","136,274 ","208,721 ","118,797 ","116,899 "
6월,"159,680 ","253,718 ","109,933 ","255,447 ","156,973 ","137,133 ","212,667 ","117,436 ","124,855 "
7월,"156,055 ","257,595 ","107,420 ","255,723 ","154,865 ","133,169 ","203,012 ","117,890 ","117,916 "
8월,"157,344 ","255,978 ","110,422 ","251,695 ","156,452 ","137,245 ","205,687 ","119,085 ","121,348 "
9월,"159,052 ","252,625 ","110,075 ","254,598 ","159,222 ","139,744 ","204,980 ","119,114 ","124,547 "
10월,"159,993 ","245,772 ","111,609 ","248,858 ","143,425 ","133,599 ","207,455 ","114,419 ","108,165 "
11월,"162,603 ","250,190 ","110,627 ","250,799 ","154,733 ","138,380 ","204,067 ","111,661 ","113,025 "
12월,"166,302 ","253,678 ","112,067 ","249,699 ","155,178 ","133,989 ","201,555 ","111,449 ","105,970 "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
