구분,내부순환로 ,강변북로,북부간선도로,올림픽대로,동부간선도로,분당수서로,경부고속도로,서부간선도로,강남순환로
1월,"161,755 ","250,335 ","108,053 ","253,254 ","145,411 ","136,421 ","202,347 ","112,047 ","108,595 "
2월,"164,280 ","254,520 ","108,137 ","258,610 ","147,153 ","140,052 ","205,751 ","105,753 ","114,890 "
3월,"161,705 ","256,521 ","110,567 ","261,524 ","136,652 ","141,963 ","210,265 ",-,"115,745 "
4월,"162,517 ","253,503 ","109,311 ","263,775 ","148,388 ","141,800 ","212,099 ","116,153 ","121,866 "
5월,"160,906 ","248,693 ","108,309 ","257,955 ","145,580 ","139,840 ","209,012 ","115,581 ","121,414 "
6월,"160,378 ","257,120 ","108,883 ","264,711 ","149,503 ","142,410 ","213,614 ","118,436 ","124,630 "
7월,"158,353 ","252,704 ","110,382 ","258,971 ","145,592 ","139,055 ","207,663 ","115,310 ","125,763 "
8월,"159,529 ","249,193 ","111,190 ","255,795 ","146,356 ","140,285 ","206,872 ","114,653 ","126,111 "
9월,"161,036 ","250,056 ","112,740 ","259,504 ","147,502 ","143,633 ","209,658 ","114,380 ","124,511 "
10월,"163,969 ","250,133 ","113,890 ","260,078 ","145,689 ","142,836 ","212,144 ","109,639 ","95,529 "
11월,"165,188 ","252,139 ","112,780 ","257,759 ","145,609 ","142,644 ","210,686 ","108,210 ","109,292 "
12월,"166,447 ","249,328 ","109,524 ","253,337 ","142,257 ","138,347 ","203,162 ","107,060 ","107,971 "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
